"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Shelf Drain 1/3 Size 10.25X4.375X0.625 IN Rectangle Plastic 1/Each","SP73DS","","","10842169123759","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F164932%2Fprimary%2F361077455f9db94263d76c3d9a6e3d2d50ed6a80-268x268.webp&w=384&q=75","SP73DS","","","https://www.imperialdade.com/catalog/product-detail/shelf-drain-1-3-size-10-25x4-375x0-625-in-rectangle-plastic-1-each-winco-SP73DS?id=164932","","","","","","Imperial Dade","","{""manufacturerCode"":""SP73DS"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/shelf-drain-1-3-size-10-25x4-375x0-625-in-rectangle-plastic-1-each-winco-SP73DS?id=164932"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Sustainable Product:"":""Yes"",""Food Storage & Transport Product Type:"":""Shelf Drain"",""National Sanitation Foundation (NSF) Certification:"":""NSF Listed"",""ESP Chemical:"":""False"",""Product Category:"":""Food Pans, Drains, & Lids"",""Height (IN):"":""0.625"",""Length (IN):"":""10.25"",""Pan, Sheet or Tray Size:"":""1/3"",""Product Shape:"":""Rectangle"",""Width (IN):"":""4.375"",""UPC-12:"":""842169123752"",""Product Type:"":""Shelf Drain""}"
"","Lid Food Storage Container 6-8 QT Red PE 1/Each","PECC68","","6-8 QT","10842169118472","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F31614%2Fprimary%2F1f303c5baed98cce07d4353498ac012b39007711-268x268.webp&w=384&q=75","PECC-68","","","https://www.imperialdade.com/catalog/product-detail/lid-food-storage-container-6-8-qt-red-pe-1-each-winco-PECC-68?id=31614","","","","","","Imperial Dade","","{""manufacturerCode"":""PECC-68"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/lid-food-storage-container-6-8-qt-red-pe-1-each-winco-PECC-68?id=31614"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polyethylene (PE)"",""Color:"":""Red"",""Food Storage & Transport Product Type:"":""Lid"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Storage Boxes & Containers"",""Capacity (OZ):"":""192, 256"",""UPC-12:"":""842169118475"",""Product Type:"":""Lid""}"
"","Food Storage Container 14.88X8.38 IN 12 QT Translucent Round PP Dishwasher Safe 1/Each","RFS12PP190","","12 QT","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F372738%2Fprimary%2F2cf7ba2bddcef3ac26785c2b48d08dbef84b0eef-268x268.webp&w=384&q=75","RFS12PP190","","","https://www.imperialdade.com/catalog/product-detail/food-storage-container-14-88x8-38-in-12-qt-translucent-round-pp-dishwasher-safe-1-each-cambro-RFS12PP190?id=372738","","","","","","Imperial Dade","","{""manufacturerCode"":""RFS12PP190"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-storage-container-14-88x8-38-in-12-qt-translucent-round-pp-dishwasher-safe-1-each-cambro-RFS12PP190?id=372738"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polypropylene (PP)"",""Color:"":""Translucent"",""Food Storage & Transport Product Type:"":""Food Storage Container"",""ESP Chemical:"":""False"",""Additional Product Features:"":""Dishwasher Safe"",""Product Category:"":""Food Storage Boxes & Containers"",""Diameter (IN):"":""14.88"",""Height (IN):"":""8.38"",""Product Shape:"":""Round"",""Capacity (OZ):"":""384"",""UPC-12:"":""076903900051"",""Product Type:"":""Food Storage Container""}"
"","Food Pan 1/2 Size 8 IN Rectangle PC 1/Each","SP7208","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F54509%2Fprimary%2Fde2552516e353e94afa136378fd4b7bc5eff8dd1-268x268.webp&w=384&q=75","SP7208","","","https://www.imperialdade.com/catalog/product-detail/food-pan-1-2-size-8-in-rectangle-pc-1-each-winco-SP7208?id=54509","","","","","","Imperial Dade","","{""manufacturerCode"":""SP7208"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-pan-1-2-size-8-in-rectangle-pc-1-each-winco-SP7208?id=54509"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polycarbonate (PC)"",""Sustainable Product:"":""Yes"",""Food Storage & Transport Product Type:"":""Food Pan"",""National Sanitation Foundation (NSF) Certification:"":""NSF Listed"",""ESP Chemical:"":""False"",""Product Category:"":""Food Pans, Drains, & Lids"",""Height (IN):"":""8"",""Pan, Sheet or Tray Size:"":""1/2"",""Product Depth:"":""Deep"",""Product Shape:"":""Rectangle"",""UPC-12:"":""842169123721"",""Product Type:"":""Food Pan""}"
"","ProSave® Ingredient Bin 15X11.75X8.5 IN 40 Cup White PP PC Food Safe With Scoop 1/Each","FG9G6000WHT","","40 Cup","00086876203578","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F79244%2Fprimary%2F2ef8766a79e169aff31231b3e55dd30314b2426f-268x268.webp&w=384&q=75","FG9G6000WHT","","","https://www.imperialdade.com/catalog/product-detail/prosave-ingredient-bin-15x11-75x8-5-in-40-cup-white-pp-pc-food-safe-with-scoop-1-each-rubbermaid-FG9G6000WHT?id=79244","","","","","","Imperial Dade","","{""manufacturerCode"":""FG9G6000WHT"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/prosave-ingredient-bin-15x11-75x8-5-in-40-cup-white-pp-pc-food-safe-with-scoop-1-each-rubbermaid-FG9G6000WHT?id=79244"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Polypropylene (PP), Polycarbonate (PC)"",""Sustainable Product:"":""Yes"",""Color:"":""White"",""Food Storage & Transport Product Type:"":""Ingredient Bin"",""National Sanitation Foundation (NSF) Certification:"":""NSF Certified"",""ESP Chemical:"":""False"",""Additional Product Features:"":""Food Safe, With Scoop"",""Product Category:"":""Ingredient Bins"",""Height (IN):"":""8.5"",""Length (IN):"":""15"",""Width (IN):"":""11.75"",""Product Type:"":""Ingredient Bin""}"
"","Food Pan Full Size 8 IN Rectangle PC 1/Each","SP7108","","","10842169123704","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F28454%2Fprimary%2Fb951722cb84b805a0ea0b9fd35835ce9c9672f15-268x268.webp&w=384&q=75","SP7108","","","https://www.imperialdade.com/catalog/product-detail/food-pan-full-size-8-in-rectangle-pc-1-each-winco-SP7108?id=28454","","","","","","Imperial Dade","","{""manufacturerCode"":""SP7108"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-pan-full-size-8-in-rectangle-pc-1-each-winco-SP7108?id=28454"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Polycarbonate (PC)"",""Sustainable Product:"":""Yes"",""Food Storage & Transport Product Type:"":""Food Pan"",""National Sanitation Foundation (NSF) Certification:"":""NSF Listed"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Pans, Drains, & Lids"",""Length (IN):"":""8"",""Pan, Sheet or Tray Size:"":""Full"",""Product Shape:"":""Rectangle"",""UPC-12:"":""842169123707"",""Product Type:"":""Food Pan""}"
"","Food Storage Container 4 QT Translucent Round PP Freezer Safe 1/Each","RFS4PP190","","4 QT","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F372775%2Fprimary%2F854843b86ad02b464b201265a573af6d94c66295-268x268.webp&w=384&q=75","RFS4PP190","","","https://www.imperialdade.com/catalog/product-detail/food-storage-container-4-qt-translucent-round-pp-freezer-safe-1-each-cambro-RFS4PP190?id=372775","","","","","","Imperial Dade","","{""manufacturerCode"":""RFS4PP190"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-storage-container-4-qt-translucent-round-pp-freezer-safe-1-each-cambro-RFS4PP190?id=372775"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polypropylene (PP)"",""Color:"":""Translucent"",""Food Storage & Transport Product Type:"":""Food Storage Container"",""ESP Chemical:"":""False"",""Product Category:"":""Food Storage Boxes & Containers"",""Foodservice Global Attributes:"":""Freezer Safe"",""Product Shape:"":""Round"",""Capacity (OZ):"":""128"",""UPC-12:"":""099511323906"",""Product Type:"":""Food Storage Container""}"
"","Lid Food Storage Container 2-4 QT Green PE 6/Case","SFC2452","","2-4 QT","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F46982%2Fprimary%2F5e5d62171f82b5d3ef3f9f19d5e440a9f336eb5c-268x268.webp&w=384&q=75","SFC2452","","","https://www.imperialdade.com/catalog/product-detail/lid-food-storage-container-2-4-qt-green-pe-6-case-cambro-SFC2452?id=46982","","","","","","Imperial Dade","","{""manufacturerCode"":""SFC2452"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/lid-food-storage-container-2-4-qt-green-pe-6-case-cambro-SFC2452?id=46982"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polyethylene (PE)"",""Color:"":""Green"",""Food Storage & Transport Product Type:"":""Lid"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Storage Boxes & Containers"",""Capacity (OZ):"":""64, 128"",""UPC-12:"":""099511340538"",""Product Type:"":""Lid""}"
"","Lid 12.5X0.75 IN 12-18-22 QT Clear Round 1/Each","RFSCWC12","","12-18-22 QT","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F372812%2Fprimary%2F51bf4c9f7b5d6c6dfbc961ec93efa58d86290aa7-268x268.webp&w=384&q=75","RFSCWC12135","","","https://www.imperialdade.com/catalog/product-detail/lid-12-5x0-75-in-12-18-22-qt-clear-round-1-each-cambro-RFSCWC12135?id=372812","","","","","","Imperial Dade","","{""manufacturerCode"":""RFSCWC12135"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/lid-12-5x0-75-in-12-18-22-qt-clear-round-1-each-cambro-RFSCWC12135?id=372812"",""Sustainable Product:"":""Yes"",""Color:"":""Clear"",""Food Storage & Transport Product Type:"":""Lid"",""National Sanitation Foundation (NSF) Certification:"":""NSF Listed"",""ESP Chemical:"":""False"",""Product Category:"":""Food Storage Boxes & Containers"",""Diameter (IN):"":""12.5"",""Height (IN):"":""0.75"",""Product Shape:"":""Round"",""Capacity (OZ):"":""384, 576, 704"",""UPC-12:"":""099511307043"",""Product Type:"":""Lid""}"
"","Food Storage Container 8.4X8.6X9.1 IN 8 QT Clear Square PC Dishwasher Safe Freezer Safe 6/Case","8SFSCW135","","8 QT","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F44254%2Fprimary%2F5f78e6b1872c5dce326584501d703ce61555f918-268x268.webp&w=384&q=75","8SFSCW135","","","https://www.imperialdade.com/catalog/product-detail/food-storage-container-8-4x8-6x9-1-in-8-qt-clear-square-pc-dishwasher-safe-freezer-safe-6-case-cambro-8SFSCW135?id=44254","","","","","","Imperial Dade","","{""manufacturerCode"":""8SFSCW135"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-storage-container-8-4x8-6x9-1-in-8-qt-clear-square-pc-dishwasher-safe-freezer-safe-6-case-cambro-8SFSCW135?id=44254"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polycarbonate (PC)"",""Color:"":""Clear"",""Food Storage & Transport Product Type:"":""Food Storage Container"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Additional Product Features:"":""Dishwasher Safe"",""Product Category:"":""Food Storage Boxes & Containers"",""Foodservice Global Attributes:"":""Freezer Safe"",""Height (IN):"":""9.1"",""Length (IN):"":""8.4"",""Product Shape:"":""Square"",""Width (IN):"":""8.6"",""Capacity (OZ):"":""256"",""Product Type:"":""Food Storage Container""}"
