name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
Classico Pandoro Cake,"Brand: BALOCCO
CASE | 9 x 1 KG",,,641143,dcec631d-40c1-449e-98e4-869065477d04,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8e5e63ca-f823-5390-8a73-2213756d930c.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Classico Pandoro Cake,"Brand: BAULI
CASE | 8 x 24.6 OZ (700 G)",,,642237,6ec47e0a-7851-4acd-bebb-3fa2efc6558d,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/3ac2d047-5554-5ac6-ad9b-46d8b203fb9d.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Classico Panettone Cake,"Brand: BALOCCO
CASE | 12 x 1 KG",,,641101,ef02b04e-d663-4e2c-8ac4-c8fd454bac00,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/73295434-cf4f-5fb7-98d2-fc347733eeb2.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Classico Panettone Cake,"Brand: BAULI
CASE | 10 x 17.6 OZ",,,642217,a36814ae-d7f8-40cd-b618-3e7f05b0bbfb,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/c9dbf525-6f39-5f97-b7af-be3fa257b5e7.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Cooked Wheat Grain,"Brand: D'AMICO
CASE | 12 x 14.8 OZ",,,629202,11057755-a0da-4b23-9c61-36aa6dbb9760,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a5e29806-0f9a-56b8-855e-3d4d151d27e9.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Country Style Pork Pate,"Brand: THREE PIGS
CASE | 2 x 3 LB
Weighted item pricing is subject to change",,,415542,210fd6bf-8a41-4b8e-895d-3c2bbed4af69,,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/49c1be5d-d8d5-4840-b395-6b142dc32302.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Country Style Pork Pate,"Brand: THREE PIGS
CASE | 6 x 8 OZ",,,415543,d7a087df-24ca-4b0a-9d1e-e82c69b056dc,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/7fd0decc-bafc-46fc-abf2-7750912bcd1a.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Dark Chocolate Baci,"Brand: PERUGINA
CASE | 6 x 12.34 OZ",,,623263,085b0565-bb21-4513-b28d-cefae42d6d2e,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/c9fba29c-4eac-4dac-9dd5-24968b2beab3.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Dark Chocolate Easter Egg,"Brand: LA FEDE
CASE | 1 x 13.2 LB (6 KG)",,,600836,e4515e48-ff9f-4377-b16a-6528ea915c6d,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a11c1574-07f1-4beb-a2a5-60e0a4e38d5e.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Dark Chocolate Easter Eggs 10.5oz,"Brand: LA FEDE
CASE | 12 x 10.5 OZ (300 G)",,,600821,778968ee-df66-4952-9fec-f4915a5a1008,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/d08da63f-d5b7-493b-a018-a483aea40a8b.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Dark Chocolate Easter Eggs 19.4oz,"Brand: LA FEDE
CASE | 8 x 19.4 OZ (550G)",,,600829,219f1138-6380-4bbd-93eb-17aba46262f7,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8d1109be-fab5-4eb0-99a8-eb675afcb325.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Dark Chocolate Easter Eggs 28.22oz,"Brand: LA FEDE
CASE | 6 x 28.22 OZ (800G)",,,601112,a754adc4-38f3-4a63-b36e-789729779fd8,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/b5377e93-0de9-4319-9c6c-9906a326a2f4.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Dark Chocolate Florentine with Hazelnut,"Brand: QUARANTA
CASE | 12 x 120 GR",,,600784,d93707e7-935c-4de9-9f87-2ee1fadb1fd1,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0a2ec680-8750-5997-bc21-94f2cd9b67d9.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
DI Limonce Crema Pandoro Cake,"Brand: BAULI
CASE | 16 x 25.5 OZ (750 G)",,,642248,da7d1046-fe2b-43c9-9974-25959562fc2f,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/44cce8b7-3fbd-56e4-9def-f2b4108585c1.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Dolce Noir Tartufone Cake,"Brand: MOTTA
CASE | 12 x 650 GR",,,601283,2a45c060-81fa-4e75-9d00-541805131b6f,EACH,,CASE,,,,,,,,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Dolce Tartufone Cake,"Brand: MOTTA
CASE | 12 x 750 GR",,,601279,769b4932-72d9-4eb3-926f-0fb9a374bdb6,EACH,,CASE,,,,,,,,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Duck Liver & Pork Mousse With Port Wine,"Brand: THREE PIGS
CASE | 2 x 3 LB
Weighted item pricing is subject to change",,,415553,d73ddb82-ed23-4809-b9a2-376a707b69ed,,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/6faabc71-992a-4929-ab5e-acc50b67cb7f.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Duck Liver & Pork Mousse With Port Wine,"Brand: THREE PIGS
CASE | 6 x 8 OZ",,,415554,2e9ebbe7-3f79-464a-80b8-8b6e6e6f3d18,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8325f3ad-547e-42ba-bc22-b9a22b588992.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Duck Liver & Pork Mousse With Port Wine,"Brand: THREE PIGS
CASE | 8 x 5.5 OZ",,,415555,55b39c38-ebee-4f02-93d5-3b720623ee77,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/4465ce84-15a0-4893-8e5c-d39c07f40f99.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Eggplant Pate in Extra Virgin Olive Oil,"Brand: COLAVITA
CASE | 6 x 4.76 OZ",,,415952,e3e28cc3-848f-4946-9320-2e56b280a1e2,EACH,,CASE,,39153200210,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/93b77d5f-4443-5649-9212-512b6411903f.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
