"name","description","brand","category","sku","packSize","barcode","imageUrl","link"
"TO GO BOX CZ-10 KIN NEGORO BODY CP","","CP","BENTO TRAY, DONBURI","#81549","4/ 50 PC","074410815493","https://ecatalog.wismettacusa.com/upload/img/m/9266982356154a688a41130.57138217.jpg","https://ecatalog.wismettacusa.com/product.php?id=89168&branch=LOS"
"TO GO BOX CZ-10 KIN NEGORO LID CP","","CP","BENTO TRAY, DONBURI","#81550","4/ 50 PC","074410815509","https://ecatalog.wismettacusa.com/upload/img/m/4984508876154a69aa8bdb1.28617572.jpg","https://ecatalog.wismettacusa.com/product.php?id=89169&branch=LOS"
"PVC FOOD FILM 12X2000 KPACK","","K PACK","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#81709","EA","N/A","https://ecatalog.wismettacusa.com/upload/img/m/194402993461e70eee14c578.48883370.jpg","https://ecatalog.wismettacusa.com/product.php?id=100518&branch=LOS"
"PVC FOOD FILM 18X2000 KPACK","","K PACK","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#81710","EA","N/A","https://ecatalog.wismettacusa.com/upload/img/m/640594339619d35a61160d8.05166179.jpg","https://ecatalog.wismettacusa.com/product.php?id=100662&branch=LOS"
"HOY HOY RAT&MOUSE GLUE TRAP JUMBO EARTH","","EARTH","DRUG & COSMETIC OTHER","#81783","12/ 2 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/64503261362322e2e3af728.72530764.jpg","https://ecatalog.wismettacusa.com/product.php?id=102817&branch=LOS"
"HOY HOY RAT&MOUSE GLUE TRAP EARTH","","EARTH","DRUG & COSMETIC OTHER","#81784","24/ 2 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/374960042622a82fd7eb080.46051095.jpg","https://ecatalog.wismettacusa.com/product.php?id=102818&branch=LOS"
"TAKOYAKI COOKING PAN PLATE 16 HOLES","","OTAFUKU","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#81922","10/ 1 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/136946798265ca6d08862445.90695808.jpg","https://ecatalog.wismettacusa.com/product.php?id=119167&branch=LOS"
"TO GO BOX CZ38 MATSUBA BODY CP","","CP","BENTO TRAY, DONBURI","#81926","300 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/281424090648a0bfb10c592.07781240.jpg","https://ecatalog.wismettacusa.com/product.php?id=112134&branch=LOS"
"TO GO BOX CZ38 MATSUBA LID CP","","CP","BENTO TRAY, DONBURI","#81929","300 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/1738554506648a0c236ba927.92242511.jpg","https://ecatalog.wismettacusa.com/product.php?id=112135&branch=LOS"
"PAPER COASTER COEDO","","N/A","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#81946","12/ 200 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/48736086165ce9d64ae1a56.15187623.jpg","https://ecatalog.wismettacusa.com/product.php?id=118246&branch=LOS"
"CHOPSTICK BAMBOO W/O BAG 8","","L & T","CHOPSTIC REGULAR","#95108","30/ 100 PR","N/A","https://ecatalog.wismettacusa.com/upload/img/m/12664387285b76f3fe0474c5.84284322.jpg","https://ecatalog.wismettacusa.com/product.php?id=4027&branch=LOS"
"CHOPSTICK BAMBOO TENSOGE HASHI 9 W/O/B","","L & T","CHOPSTIC REGULAR","#95109","30/ 100 PR","N/A","https://ecatalog.wismettacusa.com/upload/img/m/95109-1.JPG","https://ecatalog.wismettacusa.com/product.php?id=4028&branch=LOS"
"CHOPSTICK BAMBOO 9 KAMPU BAG SK","","SK","CHOPSTIC REGULAR","#95114","20/ 100 PR","N/A","https://ecatalog.wismettacusa.com/upload/img/m/95114-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=4030&branch=LOS"
"CHOPSTICK BAMBOO 9","","JAS","CHOPSTIC REGULAR","#95546","22/ 90 PC","074410955465","https://ecatalog.wismettacusa.com/upload/img/m/4932648075c0eeac007d4b3.96631554.jpg","https://ecatalog.wismettacusa.com/product.php?id=4032&branch=LOS"
"BENTO TRAY KS-85 SHU W/LID KITAHARA","","KITAHARA","BENTO TRAY, DONBURI","#95646","16/ 20 PC","074410956462","https://ecatalog.wismettacusa.com/upload/img/m/13808205195c0eecfd232783.19356115.jpg","https://ecatalog.wismettacusa.com/product.php?id=3927&branch=LOS"
"SUSHI TRAY 10 LID GIKEN","","GIKEN","SUSHI TRAY","#95678","24/ 50 PC","074410956783","https://ecatalog.wismettacusa.com/upload/img/m/12220289545c0eed497fc3d1.50721235.jpg","https://ecatalog.wismettacusa.com/product.php?id=3883&branch=LOS"
"SUSHI ROLLING MAT/MAKISU BAMBOO 24X24","","MARUFUJI SHOKAI","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#96022","25/ 12/ 1 PC","074410960223","https://ecatalog.wismettacusa.com/upload/img/m/96022.jpg","https://ecatalog.wismettacusa.com/product.php?id=4168&branch=LOS"
"DETERGENT HORSE POWER DEGREASER 1GAL SK","","SK","DETERGENT","#96040","6/ 1 GL","N/A","https://ecatalog.wismettacusa.com/upload/img/m/4922153815c0eed73005c82.98518460.jpg","https://ecatalog.wismettacusa.com/product.php?id=4145&branch=LOS"
"DETERGENT SUPER SUDS HAND DISH SOAP 1GAL","","BUTLER","DETERGENT","#96041","6/ 1 GL","N/A","https://ecatalog.wismettacusa.com/upload/img/m/15096904805b76f43f200955.37480844.jpg","https://ecatalog.wismettacusa.com/product.php?id=4146&branch=LOS"
"BENRINER","","BENTO","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#96045","36/ 1 PC","074410960452","https://ecatalog.wismettacusa.com/upload/img/m/96045.jpg","https://ecatalog.wismettacusa.com/product.php?id=4165&branch=LOS"
"CHOPSTIC HOLDER FUN CHOP 500P INTELIVNTR","","INTELIVENTOR","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#96283","3/ 500 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/6151053595b524a471247a6.05911704.jpg","https://ecatalog.wismettacusa.com/product.php?id=4172&branch=LOS"
"COSMETIC RAZOR TOUCH'N BROW KAI","","KAI","COSMETIC","#96588","20/ 10/ 1 EA","690953000013","https://ecatalog.wismettacusa.com/upload/img/m/96588.jpg","https://ecatalog.wismettacusa.com/product.php?id=4271&branch=LOS"
"TEMPURA PAPER SAKURA 100SH MARUKOH","","MARUKO","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#96705","160/ 100 PC","074410967055","https://ecatalog.wismettacusa.com/upload/img/m/3743413355b76f4e9457d37.75380102.jpg","https://ecatalog.wismettacusa.com/product.php?id=4173&branch=LOS"
"HARMONY TUMBLER 420ML 5BF22 ASAHI","","ASAHI","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#96840","10/ 6 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/314657005c0971cb7f4478.89855325.jpg","https://ecatalog.wismettacusa.com/product.php?id=4170&branch=LOS"
"FOAM CONTNR 32OZ BODY 32MJ48","","INDIVIDUAL FOOD SERVICE","FOAM CONTAINER","#97000","20/ 25 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/97000.JPG","https://ecatalog.wismettacusa.com/product.php?id=3910&branch=LOS"
"FOAM CONTNR 32OZ LID 48JL","","INDIVIDUAL FOOD SERVICE","FOAM CONTAINER","#97025","5/ 100 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/97025.JPG","https://ecatalog.wismettacusa.com/product.php?id=3911&branch=LOS"
"RICE COOKER GAS NSF 55CUP RER55ASN RINNA","","RINNAI","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#97069","1 PC","766156000652","https://ecatalog.wismettacusa.com/upload/img/m/107004189463855a7fbc4b78.60702770.jpg","https://ecatalog.wismettacusa.com/product.php?id=4176&branch=LOS"
"PAPER TOWEL MULTI FOLD MB550","","SUPERIOR","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#97070","16/ 250 PC","088639002039","https://ecatalog.wismettacusa.com/upload/img/m/6040753205c05a405f00c77.65356910.jpg","https://ecatalog.wismettacusa.com/product.php?id=4177&branch=LOS"
"FOAM CONTNR HAMBURGER BOX 5.5 THI0080","","INDIVIDUAL FOOD SERVICE","FOAM CONTAINER","#97088","4/ 125 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/97088.JPG","https://ecatalog.wismettacusa.com/product.php?id=3907&branch=LOS"
"GLOVE EMBOSSED MEDIUM","","ASAHI SOGYO","GLOVE","#97583","40/ 100 PC","074410975838","https://ecatalog.wismettacusa.com/upload/img/m/2503176845b5243916d0725.92388723.jpg","https://ecatalog.wismettacusa.com/product.php?id=4115&branch=LOS"
"GLOVE EMBOSSED SMALL","","ASAHI SOGYO","GLOVE","#97593","40/ 100 PC","074410975937","https://ecatalog.wismettacusa.com/upload/img/m/15295953385b5243bb9c3eb5.10536749.jpg","https://ecatalog.wismettacusa.com/product.php?id=4116&branch=LOS"
"GOODS FM 9","","FUJI MDSE","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#97926H","1 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/97926H.jpg","https://ecatalog.wismettacusa.com/product.php?id=4188&branch=LOS"
"COSMETIC RAZOR TOUCH'N BLOW LADYN KAI","","KAI","COSMETIC","#98820","20/ 10/ 1 EA","690953000020","https://ecatalog.wismettacusa.com/upload/img/m/98820.jpg","https://ecatalog.wismettacusa.com/product.php?id=4272&branch=LOS"
"PVC FOOD FILM 12X2000 SK","","SK","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#99001","1 PC","00721844429818","https://ecatalog.wismettacusa.com/upload/img/m/10647310015b3259c8579089.73174712.jpg","https://ecatalog.wismettacusa.com/product.php?id=4178&branch=LOS"
"PVC FOOD FILM 18X2000 SK","","SK","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#99002","1 PC","074410990022","https://ecatalog.wismettacusa.com/upload/img/m/99002-1.JPG","https://ecatalog.wismettacusa.com/product.php?id=4179&branch=LOS"
"PAPER NAPKIN 2PLY 15X17 WHITE NP528PA","","PAPERCRAFT","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#99006C","28/ 100 PC","073286610928","https://ecatalog.wismettacusa.com/upload/img/m/3080770975c0eee98e17d68.43981872.jpg","https://ecatalog.wismettacusa.com/product.php?id=4182&branch=LOS"
"DETERGENT LIQUID BLEACH 1GAL SK","","SK","DETERGENT","#99009","6/ 1 GL","N/A","https://ecatalog.wismettacusa.com/upload/img/m/20693529105c0eeeb2c82293.71654722.jpg","https://ecatalog.wismettacusa.com/product.php?id=4148&branch=LOS"
"TEMPURA PAPER ROUND WHITE LACE 6 1000SH","","SMITH LEE","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#99011","10/ 1000 SH","074031101647","https://ecatalog.wismettacusa.com/upload/img/m/7078811605c0eeed4c8ae78.74823519.jpg","https://ecatalog.wismettacusa.com/product.php?id=4183&branch=LOS"
"BAMBOO SKEWER 8 20CM 100PC","","RONGCHANG FOODSTUFF","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#99112","6/ 24/ 100 PR","074410991128","https://ecatalog.wismettacusa.com/upload/img/m/17185827425c05a3c97227f7.87501378.jpg","https://ecatalog.wismettacusa.com/product.php?id=4212&branch=LOS"
"BAMBOO SKEWER 6 15CM 100PC PREMIUM","","RONGCHANG FOODSTUFF","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#99118","10/ 24/ 100 PC","074410991180","https://ecatalog.wismettacusa.com/upload/img/m/99118-1.JPG","https://ecatalog.wismettacusa.com/product.php?id=4214&branch=LOS"
"CHOPSTICK WOOD 100PR C SK","","SK","CHOPSTIC REGULAR","#99326","40/ 100 PR","074410993269","https://ecatalog.wismettacusa.com/upload/img/m/99326-1.JPG","https://ecatalog.wismettacusa.com/product.php?id=4033&branch=LOS"
"SUSHI TRAY SHIN CZ-21 LID","","CP","SUSHI TRAY","#99408","12/ 50 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/5144890095c51e17a003f54.21630891.jpg","https://ecatalog.wismettacusa.com/product.php?id=3892&branch=LOS"
"BEER PITCHER 60OZ BOELTER ASAHI","","ASAHI","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#99528","12/ 1 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/11544473235c09722f8e59e6.48714670.jpg","https://ecatalog.wismettacusa.com/product.php?id=4215&branch=LOS"
"BAMBOO LEAF SASANOHA 100PC CHN","","TAILONG","BAMBOO LEAF, BARAN","#99608","36/ 100 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/4469433515cd2fe5e580298.70013235.jpg","https://ecatalog.wismettacusa.com/product.php?id=4110&branch=LOS"
