name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
"BOWL MINI 7"" PLAYGROUND GLASS",Bowl.,Glass,,1217643,6e28512d-6a45-468b-a468-3c1aa6bc54f4,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1217643.JPG,,www.don.com/product/1217643,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
LID REPLACEMENT F/ AQUARIA CARAFE BLU,Lid.,Glass,,1223238,75f3ff62-9b95-4b26-a15c-bde7712b671e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223238.JPG,,www.don.com/product/1223238,,,,Steelite International,Dinnerware,Glass Dinnerware,Steelite,Other Steelite,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT LRG 7-5/7X2"" GREY","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223674,01d22cd6-c425-4f02-9aaa-aa67e6de9259,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223674.JPG,,www.don.com/product/1223674,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT LRG 7-5/7X2"" SALMON PINK","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223675,08951444-6724-440e-be75-d6a27059f06f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223675.JPG,,www.don.com/product/1223675,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT LRG 7-5/7X2"" MINT","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223676,81a1c849-58d4-45a1-9c5e-a5018686c2f4,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223676.JPG,,www.don.com/product/1223676,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT LRG 7-5/7X2"" LEATHER BRN","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223677,bb9c4f18-b416-4d6f-a43e-343c624532df,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223677.JPG,,www.don.com/product/1223677,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT LRG 7-5/7X2"" CREAM","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223678,ed72a1ce-19e4-405e-9462-86147f78ef82,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223678.JPG,,www.don.com/product/1223678,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT SML 4-2/7X2-1/5"" GREY","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223679,94c64119-3f85-4a31-b5eb-1b016a6e06eb,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223679.JPG,,www.don.com/product/1223679,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT SML 4-2/7X2-1/5"" PINK","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223680,77e94e28-2642-4bb4-a247-fc66078aef8c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223680.JPG,,www.don.com/product/1223680,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOX LUNCH KIT SML 4-2/7X2-1/5"" MINT","Lunch Box. The new Modern Lunch Box from MyGlassStudio Dinnerware is nothing like what you'll find in a middle school cafeteria.. It's the stylish and sustainable choice for restaurants, hotels, and bars looking to upgrade their covered dining solutions!. Compared to traditional room service metal covers which are associated with “old style"" hospitality service, the Modern Lunch Box design is casual but infused with a modern approach.. A truly modern alternative to the “service under the bell” experience.... Surprise post-Covid age “Explorers”. with a Foodstagrammable, handmade and sustainable “lunch box” presentation..",Glass,,1223681,3870e325-a6b3-403d-a79c-f4710f1edb96,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1223681.JPG,,www.don.com/product/1223681,,,,Bauscherhepp,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
