desc,size,name,pack,sku,extra_data
"SpecificationsSpecificationsColor:ClearOffice Supplies Product Type:Heat LampESP Chemical:falseAdditional Product Features:Shatter Resistant, 250 WattProduct Category:Batteries & Electrical SuppliesUPC-14 (GTIN):55000012496303Product Type:Heat Lamp",,Heat Lamp Clear Shatter Resistant 250 Watt,12/Case,,"{""﻿web-scraper-order"":""1731171770-11"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Heat Lamp Clear Shatter Resistant 250 Watt 12/Case"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/heat-lamp-clear-shatter-resistant-250-watt-12-case-winters%20engineering-BUB-714725.?id=364755"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F364755%2Fprimary%2Fba8686213810ef676a62626d6e3a3a10ce46b084-400x400.webp&w=640&q=75"",""Sku"":""SKU# BUB714725""}"
SpecificationsSpecificationsBatteries Size:AAOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineUPC-12:012800474097Product Type:Battery,,Rayovac® Ultrapro Battery AA Alkaline,24/Pack,,"{""﻿web-scraper-order"":""1731171772-12"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Rayovac® Ultrapro Battery AA Alkaline 24/Pack"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-aa-alkaline-24-pack-energizer-ALAA-24PPJ?id=345880"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F345880%2Fprimary%2F273627021c4fa6075e0f9446e92ea99b297b81f3-400x400.webp&w=640&q=75"",""Sku"":""SKU# RAYALAA24PPJ""}"
SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:12 VoltHeight (IN):ength (IN):15.2Width (IN):7.1Product Type:Battery,14.5L,Clarke® Battery 12 Volt 15.2X7.1X14.5 IN,1/Each,,"{""﻿web-scraper-order"":""1731171775-13"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Clarke® Battery 12 Volt 15.2X7.1X14.5 IN 1/Each"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/clarke-battery-12-volt-15-2x7-1x14-5-in-1-each-nilfisk-41023A?id=336010"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F336010%2Fprimary%2Fce283ac174584b58f02fdb049596b00a6e1751a8-400x400.webp&w=640&q=75"",""Sku"":""SKU# 41023A""}"
SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:12 VoltHeight (IN):9.38Width (IN):12.94Product Type:Battery,,Battery 12 Volt 12.94X9.38 IN,1/Each,,"{""﻿web-scraper-order"":""1731171777-14"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Battery 12 Volt 12.94X9.38 IN 1/Each"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/battery-12-volt-12-94x9-38-in-1-each-crown%20battery-D12115?id=275462"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F275462%2Fprimary%2F6474cf9d6c7ff5973e0d2a84d9bf1366b1a33d10-400x400.webp&w=640&q=75"",""Sku"":""SKU# 27HDC115""}"
SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DCleaning Chemicals Product pH:AlkalineOffice Supplies Product Features:AlkalineUPC-12:012800474127Product Type:Battery,,Rayovac® Ultrapro Battery D Alkaline,12/Pack,,"{""﻿web-scraper-order"":""1731171780-15"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Rayovac® Ultrapro Battery D Alkaline 12/Pack"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-d-alkaline-12-pack-energizer-RAYALD12PPJ?id=273352"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F273352%2Fprimary%2F83ab4415bba7a4ad1dbbb21506ba908e80d345c5-400x400.webp&w=640&q=75"",""Sku"":""SKU# ALD12PPJ""}"
"SpecificationsSpecificationsOffice Supplies Product Type:Battery ChargerESP Chemical:falseAdditional Product Features:2-Pack, Lithium-Ion Battery, 6AhProduct Category:Batteries & Electrical SuppliesBatteries Size:18VProduct Type:Battery Charger",,Battery Charger 18V 2-Pack Lithium-Ion Battery 6Ah,2/Pack,,"{""﻿web-scraper-order"":""1731171782-16"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Battery Charger 18V 2-Pack Lithium-Ion Battery 6Ah 2/Pack"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/battery-charger-18v-2-pack-lithium-ion-battery-6ah-2-pack-waitley%C2%AE-WTL1860?id=416308"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F416308%2Fprimary%2F9875cd5c3f0cc47ee114e30d24d7e4d4db94fbf0-400x400.webp&w=640&q=75"",""Sku"":""SKU# WTL1860""}"
SpecificationsSpecificationsBatteries Size:DOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery,,Battery D Alkaline,12/Box,,"{""﻿web-scraper-order"":""1731171785-17"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Battery D Alkaline 12/Box"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/battery-d-alkaline-12-box-energizer-EEN95?id=29376"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F29376%2Fprimary%2F74e8f26be962738a346200bfb276204c6c9efd28-400x400.webp&w=640&q=75"",""Sku"":""SKU# ENEEN95""}"
"SpecificationsSpecificationsOffice Supplies Product Type:ContactorESP Chemical:falseAdditional Product Features: 50-65 amps, 208-240V, 3 PolesProduct Category:Batteries & Electrical SuppliesUPC-12:782116311880Product Type:Contactor",,Contactor 50-65 amps 208-240V 3 Poles,1/Each,,"{""﻿web-scraper-order"":""1731171788-18"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Contactor 50-65 amps 208-240V 3 Poles 1/Each"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/contactor-50-65-amps-208-240v-3-poles-1-each-hubbell-C25DNF350B?id=255685"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F255685%2Fprimary%2Ff8fa0844f8600dfc4a01166e945d959c252d3e7a-400x400.webp&w=640&q=75"",""Sku"":""SKU# C25DNF350B""}"
SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:6V 223Office Supplies Product Features:LithiumProduct Type:Battery,,Battery 6V 223 Lithium,1/Pack,,"{""﻿web-scraper-order"":""1731171790-19"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Battery 6V 223 Lithium 1/Pack"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/battery-6v-223-lithium-1-pack-duracell-DURDL223ABPK?id=384255"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384255%2Fprimary%2F312d0cefcbcb7a59a7570f4c95fa4bddb1e4541d-400x400.webp&w=640&q=75"",""Sku"":""SKU# DURDL223ABPK""}"
SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):6Tensile Strength (LB):40Width (IN):0.14Product Type:Cable Tie,,Cable Tie 6X0.14 IN Natural 40LB,1000/Case,,"{""﻿web-scraper-order"":""1731171793-20"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Cable Tie 6X0.14 IN Natural 40LB 1000/Case"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/cable-tie-6x0-14-in-natural-40lb-1000-case-b%20o%20x%20partners-CT640?id=414063"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F414063%2Fprimary%2F114e52c69c10f7a27ee0ec7c1adb8c1f49ae837f-400x400.webp&w=640&q=75"",""Sku"":""SKU# CT640""}"
"SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:Specialty, High-PowerProduct Category:Batteries & Electrical SuppliesBatteries Size:6VOffice Supplies Product Features:LithiumProduct Type:Battery",,245 Battery 6V Specialty High-Power Lithium,1/Each,,"{""﻿web-scraper-order"":""1731171795-21"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""245 Battery 6V Specialty High-Power Lithium 1/Each"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/245-battery-6v-specialty-high-power-lithium-1-each-duracell-DURDL245BPK?id=344289"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F344289%2Fprimary%2F6186d0abe76a79349cb9ec1ca57001f1edbeb030-400x400.webp&w=640&q=75"",""Sku"":""SKU# DURDL245BPK""}"
SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):11UPC-12:850049466103Product Type:Cable Tie,,Kable Kontrol Cable Tie 11 IN Natural 100 Count/Pack 1 Count/Case,,,"{""﻿web-scraper-order"":""1731171798-22"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Kable Kontrol Cable Tie 11 IN Natural 100 Count/Pack 1 Count/Case"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/kable-kontrol-cable-tie-11-in-natural-100-count-pack-1-count-case-lee%20distributing-KK-CT262?id=384372"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384372%2Fprimary%2Fbbe71e6537dca4cbf27adf3d2c9c876331d20ea9-400x400.webp&w=640&q=75"",""Sku"":""SKU# KKCT262""}"
"SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DOffice Supplies Product Features:AlkalineUPC-14 (GTIN):00041333853956, 55000011515425Product Type:Battery",,Procell Professional® Battery D Alkaline,12/Pack,,"{""﻿web-scraper-order"":""1731171802-23"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Procell Professional® Battery D Alkaline 12/Pack"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/procell-professional-battery-d-alkaline-12-pack-duracell-PC1300?id=361820"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F361820%2Fprimary%2F5b67f4d827897b72e32c72aa65a4cbdfaf299e4d-400x400.webp&w=640&q=75"",""Sku"":""SKU# DURPC1300PK""}"
SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:AAAOffice Supplies Product Features:AlkalineProduct Type:Battery,,Rayovac® Ultrapro Battery AAA Alkaline,24/Pack,,"{""﻿web-scraper-order"":""1731171805-24"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Rayovac® Ultrapro Battery AAA Alkaline 24/Pack"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-aaa-alkaline-24-pack-energizer-ALAAA-24PPJ?id=273350"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F273350%2Fprimary%2Fa7d87911c460dc61a5476794be1bdbf62e37107a-400x400.webp&w=640&q=75"",""Sku"":""SKU# ALAAA24PPJ""}"
"SpecificationsSpecificationsOffice Supplies Product Type:Extension CordESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (FT):100Material Thickness (Gauge):16Office Supplies Product Features:3-Wire GroundedUPC-12:075877826008, 756847002348, 815333016549UPC-14 (GTIN):10075877826005, 20815333016543Product Type:Extension Cord",,Extension Cord 100 FT 16GA 3-Wire Grounded,1/Each,,"{""﻿web-scraper-order"":""1731171811-25"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Extension Cord 100 FT 16GA 3-Wire Grounded 1/Each"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/extension-cord-100-ft-16ga-3-wire-grounded-1-each-world%20%26%20main-91565?id=8550"",""image-src"":"""",""Sku"":""SKU# AMC16100""}"
SpecificationsSpecificationsBatteries Size:COffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery,,Procell Professional® Battery C Alkaline,12/Pack,,"{""﻿web-scraper-order"":""1731171818-26"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Procell Professional® Battery C Alkaline 12/Pack"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/procell-professional-battery-c-alkaline-12-pack-duracell-PC1400?id=273351"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F273351%2Fprimary%2F0b769bc0f7f33fb00ebbc598045e384d62fa2f3d-400x400.webp&w=640&q=75"",""Sku"":""SKU# ALC12PPJ""}"
"SpecificationsSpecificationsColor:OrangeOffice Supplies Product Type:Extension CordESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (FT):50Material Thickness (Gauge):16Material Weight:Heavy DutyOffice Supplies Product Features:3-Wire GroundedUPC-12:044882425452, 075877826503, 756847000467, 815333016532UPC-14 (GTIN):10075877826500, 18997004661353Product Type:Extension Cord",,Extension Cord 50 FT Orange 16GA Heavy Duty 3-Wire Grounded,1/Each,,"{""﻿web-scraper-order"":""1731171821-27"",""web-scraper-start-url"":""https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046"",""Pagination"":"""",""link"":""Extension Cord 50 FT Orange 16GA Heavy Duty 3-Wire Grounded 1/Each"",""link-href"":""https://www.imperialdade.com/catalog/product-detail/extension-cord-50-ft-orange-16ga-heavy-duty-3-wire-grounded-1-each-world%20%26%20main-16%2F2CORD?id=8776"",""image-src"":""https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F8776%2Fprimary%2Fdea708e603febd2ea5fb7e4978d9f0985d0585dd-400x400.webp&w=640&q=75"",""Sku"":""SKU# 16/2CORD""}"
