image,sku,desc,size,extra_data
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F364755%2Fprimary%2Fba8686213810ef676a62626d6e3a3a10ce46b084-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsColor:ClearOffice Supplies Product Type:Heat LampESP Chemical:falseAdditional Product Features:Shatter Resistant, 250 WattProduct Category:Batteries & Electrical SuppliesUPC-14 (GTIN):55000012496303Product Type:Heat Lamp",,"{""remaining_desc"":""SpecificationsSpecificationsColor:ClearOffice Supplies Product Type:Heat LampESP Chemical:falseAdditional Product Features:Shatter Resistant, 250 WattProduct Category:Batteries & Electrical SuppliesUPC-14 (GTIN):55000012496303Product Type:Heat Lamp""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F345880%2Fprimary%2F273627021c4fa6075e0f9446e92ea99b297b81f3-400x400.webp&w=640&q=75,,SpecificationsSpecificationsBatteries Size:AAOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineUPC-12:012800474097Product Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:AAOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineUPC-12:012800474097Product Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F336010%2Fprimary%2Fce283ac174584b58f02fdb049596b00a6e1751a8-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:12 VoltHeight (IN):ength (IN):15.2Width (IN):7.1Product Type:Battery,14.5L,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:12 VoltHeight (IN):ength (IN):15.2Width (IN):7.1Product Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F275462%2Fprimary%2F6474cf9d6c7ff5973e0d2a84d9bf1366b1a33d10-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:12 VoltHeight (IN):9.38Width (IN):12.94Product Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:12 VoltHeight (IN):9.38Width (IN):12.94Product Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F273352%2Fprimary%2F83ab4415bba7a4ad1dbbb21506ba908e80d345c5-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DCleaning Chemicals Product pH:AlkalineOffice Supplies Product Features:AlkalineUPC-12:012800474127Product Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DCleaning Chemicals Product pH:AlkalineOffice Supplies Product Features:AlkalineUPC-12:012800474127Product Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F416308%2Fprimary%2F9875cd5c3f0cc47ee114e30d24d7e4d4db94fbf0-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsOffice Supplies Product Type:Battery ChargerESP Chemical:falseAdditional Product Features:2-Pack, Lithium-Ion Battery, 6AhProduct Category:Batteries & Electrical SuppliesBatteries Size:18VProduct Type:Battery Charger",,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:Battery ChargerESP Chemical:falseAdditional Product Features:2-Pack, Lithium-Ion Battery, 6AhProduct Category:Batteries & Electrical SuppliesBatteries Size:18VProduct Type:Battery Charger""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F29376%2Fprimary%2F74e8f26be962738a346200bfb276204c6c9efd28-400x400.webp&w=640&q=75,,SpecificationsSpecificationsBatteries Size:DOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:DOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F255685%2Fprimary%2Ff8fa0844f8600dfc4a01166e945d959c252d3e7a-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsOffice Supplies Product Type:ContactorESP Chemical:falseAdditional Product Features: 50-65 amps, 208-240V, 3 PolesProduct Category:Batteries & Electrical SuppliesUPC-12:782116311880Product Type:Contactor",,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:ContactorESP Chemical:falseAdditional Product Features: 50-65 amps, 208-240V, 3 PolesProduct Category:Batteries & Electrical SuppliesUPC-12:782116311880Product Type:Contactor""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384255%2Fprimary%2F312d0cefcbcb7a59a7570f4c95fa4bddb1e4541d-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:6V 223Office Supplies Product Features:LithiumProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:6V 223Office Supplies Product Features:LithiumProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F414063%2Fprimary%2F114e52c69c10f7a27ee0ec7c1adb8c1f49ae837f-400x400.webp&w=640&q=75,,SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):6Tensile Strength (LB):40Width (IN):0.14Product Type:Cable Tie,,"{""remaining_desc"":""SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):6Tensile Strength (LB):40Width (IN):0.14Product Type:Cable Tie""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F344289%2Fprimary%2F6186d0abe76a79349cb9ec1ca57001f1edbeb030-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:Specialty, High-PowerProduct Category:Batteries & Electrical SuppliesBatteries Size:6VOffice Supplies Product Features:LithiumProduct Type:Battery",,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:Specialty, High-PowerProduct Category:Batteries & Electrical SuppliesBatteries Size:6VOffice Supplies Product Features:LithiumProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384372%2Fprimary%2Fbbe71e6537dca4cbf27adf3d2c9c876331d20ea9-400x400.webp&w=640&q=75,,SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):11UPC-12:850049466103Product Type:Cable Tie,,"{""remaining_desc"":""SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):11UPC-12:850049466103Product Type:Cable Tie""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F361820%2Fprimary%2F5b67f4d827897b72e32c72aa65a4cbdfaf299e4d-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DOffice Supplies Product Features:AlkalineUPC-14 (GTIN):00041333853956, 55000011515425Product Type:Battery",,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DOffice Supplies Product Features:AlkalineUPC-14 (GTIN):00041333853956, 55000011515425Product Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F273350%2Fprimary%2Fa7d87911c460dc61a5476794be1bdbf62e37107a-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:AAAOffice Supplies Product Features:AlkalineProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:AAAOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
