image,sku,name,pack,size,content_url,extra_data
,,Rayovac® Ultrapro Battery D Alkaline,12/Pack,,https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-d-alkaline-12-pack-energizer-RAYALD12PPJ?id=273352,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DCleaning Chemicals Product pH:AlkalineOffice Supplies Product Features:AlkalineUPC-12:012800474127Product Type:Battery""}"
,,Battery Charger 18V 2-Pack Lithium-Ion Battery 6Ah,2/Pack,,https://www.imperialdade.com/catalog/product-detail/battery-charger-18v-2-pack-lithium-ion-battery-6ah-2-pack-waitley%C2%AE-WTL1860?id=416308,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:Battery ChargerESP Chemical:falseAdditional Product Features:2-Pack, Lithium-Ion Battery, 6AhProduct Category:Batteries & Electrical SuppliesBatteries Size:18VProduct Type:Battery Charger""}"
,,Battery D Alkaline,12/Box,,https://www.imperialdade.com/catalog/product-detail/battery-d-alkaline-12-box-energizer-EEN95?id=29376,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:DOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
,,Contactor 50-65 amps 208-240V 3 Poles,1/Each,,https://www.imperialdade.com/catalog/product-detail/contactor-50-65-amps-208-240v-3-poles-1-each-hubbell-C25DNF350B?id=255685,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:ContactorESP Chemical:falseAdditional Product Features: 50-65 amps, 208-240V, 3 PolesProduct Category:Batteries & Electrical SuppliesUPC-12:782116311880Product Type:Contactor""}"
,,Battery 6V 223 Lithium,1/Pack,,https://www.imperialdade.com/catalog/product-detail/battery-6v-223-lithium-1-pack-duracell-DURDL223ABPK?id=384255,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:6V 223Office Supplies Product Features:LithiumProduct Type:Battery""}"
,,Cable Tie 6X0.14 IN Natural 40LB,1000/Case,,https://www.imperialdade.com/catalog/product-detail/cable-tie-6x0-14-in-natural-40lb-1000-case-b%20o%20x%20partners-CT640?id=414063,"{""remaining_desc"":""SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):6Tensile Strength (LB):40Width (IN):0.14Product Type:Cable Tie""}"
,,245 Battery 6V Specialty High-Power Lithium,1/Each,,https://www.imperialdade.com/catalog/product-detail/245-battery-6v-specialty-high-power-lithium-1-each-duracell-DURDL245BPK?id=344289,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:Specialty, High-PowerProduct Category:Batteries & Electrical SuppliesBatteries Size:6VOffice Supplies Product Features:LithiumProduct Type:Battery""}"
,,Kable Kontrol Cable Tie 11 IN Natural 100 Count/Pack 1 Count/Case,,,https://www.imperialdade.com/catalog/product-detail/kable-kontrol-cable-tie-11-in-natural-100-count-pack-1-count-case-lee%20distributing-KK-CT262?id=384372,"{""remaining_desc"":""SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):11UPC-12:850049466103Product Type:Cable Tie""}"
,,Procell Professional® Battery D Alkaline,12/Pack,,https://www.imperialdade.com/catalog/product-detail/procell-professional-battery-d-alkaline-12-pack-duracell-PC1300?id=361820,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DOffice Supplies Product Features:AlkalineUPC-14 (GTIN):00041333853956, 55000011515425Product Type:Battery""}"
,,Rayovac® Ultrapro Battery AAA Alkaline,24/Pack,,https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-aaa-alkaline-24-pack-energizer-ALAAA-24PPJ?id=273350,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:AAAOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
