web-scraper-order,web-scraper-start-url,Pagination,link,link-href,name,image-src,Sku,desc
"1731171770-11","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Heat Lamp Clear Shatter Resistant 250 Watt 12/Case","https://www.imperialdade.com/catalog/product-detail/heat-lamp-clear-shatter-resistant-250-watt-12-case-winters%20engineering-BUB-714725.?id=364755","Heat Lamp Clear Shatter Resistant 250 Watt 12/Case","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F364755%2Fprimary%2Fba8686213810ef676a62626d6e3a3a10ce46b084-400x400.webp&w=640&q=75","SKU# BUB714725","SpecificationsSpecificationsColor:ClearOffice Supplies Product Type:Heat LampESP Chemical:falseAdditional Product Features:Shatter Resistant, 250 WattProduct Category:Batteries & Electrical SuppliesUPC-14 (GTIN):55000012496303Product Type:Heat Lamp"
"1731171772-12","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Rayovac® Ultrapro Battery AA Alkaline 24/Pack","https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-aa-alkaline-24-pack-energizer-ALAA-24PPJ?id=345880","Rayovac® Ultrapro Battery AA Alkaline 24/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F345880%2Fprimary%2F273627021c4fa6075e0f9446e92ea99b297b81f3-400x400.webp&w=640&q=75","SKU# RAYALAA24PPJ","SpecificationsSpecificationsBatteries Size:AAOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineUPC-12:012800474097Product Type:Battery"
"1731171775-13","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Clarke® Battery 12 Volt 15.2X7.1X14.5 IN 1/Each","https://www.imperialdade.com/catalog/product-detail/clarke-battery-12-volt-15-2x7-1x14-5-in-1-each-nilfisk-41023A?id=336010","Clarke® Battery 12 Volt 15.2X7.1X14.5 IN 1/Each","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F336010%2Fprimary%2Fce283ac174584b58f02fdb049596b00a6e1751a8-400x400.webp&w=640&q=75","SKU# 41023A","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:12 VoltHeight (IN):14.5Length (IN):15.2Width (IN):7.1Product Type:Battery"
"1731171777-14","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Battery 12 Volt 12.94X9.38 IN 1/Each","https://www.imperialdade.com/catalog/product-detail/battery-12-volt-12-94x9-38-in-1-each-crown%20battery-D12115?id=275462","Battery 12 Volt 12.94X9.38 IN 1/Each","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F275462%2Fprimary%2F6474cf9d6c7ff5973e0d2a84d9bf1366b1a33d10-400x400.webp&w=640&q=75","SKU# 27HDC115","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:12 VoltHeight (IN):9.38Width (IN):12.94Product Type:Battery"
"1731171780-15","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Rayovac® Ultrapro Battery D Alkaline 12/Pack","https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-d-alkaline-12-pack-energizer-RAYALD12PPJ?id=273352","Rayovac® Ultrapro Battery D Alkaline 12/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F273352%2Fprimary%2F83ab4415bba7a4ad1dbbb21506ba908e80d345c5-400x400.webp&w=640&q=75","SKU# ALD12PPJ","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DCleaning Chemicals Product pH:AlkalineOffice Supplies Product Features:AlkalineUPC-12:012800474127Product Type:Battery"
"1731171782-16","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Battery Charger 18V 2-Pack Lithium-Ion Battery 6Ah 2/Pack","https://www.imperialdade.com/catalog/product-detail/battery-charger-18v-2-pack-lithium-ion-battery-6ah-2-pack-waitley%C2%AE-WTL1860?id=416308","Battery Charger 18V 2-Pack Lithium-Ion Battery 6Ah 2/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F416308%2Fprimary%2F9875cd5c3f0cc47ee114e30d24d7e4d4db94fbf0-400x400.webp&w=640&q=75","SKU# WTL1860","SpecificationsSpecificationsOffice Supplies Product Type:Battery ChargerESP Chemical:falseAdditional Product Features:2-Pack, Lithium-Ion Battery, 6AhProduct Category:Batteries & Electrical SuppliesBatteries Size:18VProduct Type:Battery Charger"
"1731171785-17","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Battery D Alkaline 12/Box","https://www.imperialdade.com/catalog/product-detail/battery-d-alkaline-12-box-energizer-EEN95?id=29376","Battery D Alkaline 12/Box","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F29376%2Fprimary%2F74e8f26be962738a346200bfb276204c6c9efd28-400x400.webp&w=640&q=75","SKU# ENEEN95","SpecificationsSpecificationsBatteries Size:DOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery"
"1731171788-18","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Contactor 50-65 amps 208-240V 3 Poles 1/Each","https://www.imperialdade.com/catalog/product-detail/contactor-50-65-amps-208-240v-3-poles-1-each-hubbell-C25DNF350B?id=255685","Contactor 50-65 amps 208-240V 3 Poles 1/Each","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F255685%2Fprimary%2Ff8fa0844f8600dfc4a01166e945d959c252d3e7a-400x400.webp&w=640&q=75","SKU# C25DNF350B","SpecificationsSpecificationsOffice Supplies Product Type:ContactorESP Chemical:falseAdditional Product Features: 50-65 amps, 208-240V, 3 PolesProduct Category:Batteries & Electrical SuppliesUPC-12:782116311880Product Type:Contactor"
"1731171790-19","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Battery 6V 223 Lithium 1/Pack","https://www.imperialdade.com/catalog/product-detail/battery-6v-223-lithium-1-pack-duracell-DURDL223ABPK?id=384255","Battery 6V 223 Lithium 1/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384255%2Fprimary%2F312d0cefcbcb7a59a7570f4c95fa4bddb1e4541d-400x400.webp&w=640&q=75","SKU# DURDL223ABPK","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:6V 223Office Supplies Product Features:LithiumProduct Type:Battery"
"1731171793-20","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Cable Tie 6X0.14 IN Natural 40LB 1000/Case","https://www.imperialdade.com/catalog/product-detail/cable-tie-6x0-14-in-natural-40lb-1000-case-b%20o%20x%20partners-CT640?id=414063","Cable Tie 6X0.14 IN Natural 40LB 1000/Case","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F414063%2Fprimary%2F114e52c69c10f7a27ee0ec7c1adb8c1f49ae837f-400x400.webp&w=640&q=75","SKU# CT640","SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):6Tensile Strength (LB):40Width (IN):0.14Product Type:Cable Tie"
"1731171795-21","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","245 Battery 6V Specialty High-Power Lithium 1/Each","https://www.imperialdade.com/catalog/product-detail/245-battery-6v-specialty-high-power-lithium-1-each-duracell-DURDL245BPK?id=344289","245 Battery 6V Specialty High-Power Lithium 1/Each","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F344289%2Fprimary%2F6186d0abe76a79349cb9ec1ca57001f1edbeb030-400x400.webp&w=640&q=75","SKU# DURDL245BPK","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:Specialty, High-PowerProduct Category:Batteries & Electrical SuppliesBatteries Size:6VOffice Supplies Product Features:LithiumProduct Type:Battery"
"1731171798-22","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Kable Kontrol Cable Tie 11 IN Natural 100 Count/Pack 1 Count/Case","https://www.imperialdade.com/catalog/product-detail/kable-kontrol-cable-tie-11-in-natural-100-count-pack-1-count-case-lee%20distributing-KK-CT262?id=384372","Kable Kontrol Cable Tie 11 IN Natural 100 Count/Pack 1 Count/Case","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384372%2Fprimary%2Fbbe71e6537dca4cbf27adf3d2c9c876331d20ea9-400x400.webp&w=640&q=75","SKU# KKCT262","SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):11UPC-12:850049466103Product Type:Cable Tie"
"1731171802-23","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Procell Professional® Battery D Alkaline 12/Pack","https://www.imperialdade.com/catalog/product-detail/procell-professional-battery-d-alkaline-12-pack-duracell-PC1300?id=361820","Procell Professional® Battery D Alkaline 12/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F361820%2Fprimary%2F5b67f4d827897b72e32c72aa65a4cbdfaf299e4d-400x400.webp&w=640&q=75","SKU# DURPC1300PK","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DOffice Supplies Product Features:AlkalineUPC-14 (GTIN):00041333853956, 55000011515425Product Type:Battery"
"1731171805-24","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Rayovac® Ultrapro Battery AAA Alkaline 24/Pack","https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-aaa-alkaline-24-pack-energizer-ALAAA-24PPJ?id=273350","Rayovac® Ultrapro Battery AAA Alkaline 24/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F273350%2Fprimary%2Fa7d87911c460dc61a5476794be1bdbf62e37107a-400x400.webp&w=640&q=75","SKU# ALAAA24PPJ","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Product Category:Batteries & Electrical SuppliesBatteries Size:AAAOffice Supplies Product Features:AlkalineProduct Type:Battery"
