"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Bourbon Cream Liqueur","","","1376395",12,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2557232/9e87141beb32a9015f1a5.png?1677239162","","","","","","13th Century Whiskey","Spirit","","johnsonbrothers","13th Century","United States"
"Coffee Cream Liqueur","","","1647200",12,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2557231/209b62bffb67888e07b7b.png?1677239159","","","","","","13th Century Whiskey","Spirit","","johnsonbrothers","13th Century","United States"
"Limited Edition Barreled In Rare 30 Gallon Casks Barrel Strength American Straight Bourbon Whiskey","","","1724767",3,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2343779/09caf414cd061c8cdd15b.png?1655383427","","","","","","13th Century Whiskey","Spirit","","johnsonbrothers","13th Century","United States"
"Bubbles Columbia Valley","","","1365613",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608322/b59b35c52d30a417114ec.png?1682084529","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Cabernet Sauvignon Columbia Valley","","","1099551",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608479/25bd0db0613ebf4f02152.png?1682312213","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Chardonnay Columbia Valley","","","1212912",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608332/48279f5a9b6d4f499b455.png?1682084541","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Hot To Trot Red Blend Columbia Valley","","","1872159",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608080/c10ce60606a5f819a7606.png?1682074800","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Hot To Trot Red Blend Columbia Valley","","","1820210",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608080/c10ce60606a5f819a7606.png?1682074800","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Hot To Trot Red Blend Columbia Valley","","","1987803",12,12,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608080/c10ce60606a5f819a7606.png?1682074800","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Hot To Trot White Blend","","","1349770",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2608044/deff78b454fdd87487558.png?1682074773","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Merlot Columbia Valley","","","1559052",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607925/4fe4b536432cc067b7115.png?1682066353","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Pinot Grigio Columbia Valley","","","1512085",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607816/261c53a26c0645371f4b3.png?1682061388","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Pinot Grigio Columbia Valley","","","1006810",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607816/261c53a26c0645371f4b3.png?1682061388","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Pinot Grigio Columbia Valley","","","1202632",12,12,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607816/261c53a26c0645371f4b3.png?1682061388","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Riesling","","","1958053",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607776/c1c6c608848202183ce16.png?1682061356","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Rosé Columbia Valley","","","1368792",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607659/4057cd9916d0b3670a6c5.png?1682057491","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Rosé Columbia Valley","","","1583154",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607659/4057cd9916d0b3670a6c5.png?1682057491","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Run Wild Red Blend Columbia Valley","","","1981638",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607637/5c455435b678d8d07a5e7.png?1682057467","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Sauvignon Blanc Columbia Valley","","","1346229",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607175/0661a3f2ebadd7987d6aa.png?1681999306","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Stampede Bold Red Blend Columbia Valley","","","1985618",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607145/dee3f23252b7bbe21e18a.png?1681999273","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Unicorn Bubbles Columbia Valley","","","1984581",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2607057/13548da388ef0eade5c9b.png?1681994516","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Unicorn Bubbles Rosé Columbia Valley Limited Release","","","1962458",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2628371/c6da355608bda3d8f2538.png?1684255693","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Unicorn Bubbles Rosé Columbia Valley Limited Release","","","1006935",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2628371/c6da355608bda3d8f2538.png?1684255693","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Vintage Series Red Blend Columbia Valley Limited Release","","","1751803",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247582/1beacf92a7eb9f65c94a2.png?1649422723","","","","","","14 Hands Winery","Wine","","johnsonbrothers","Chateau Ste Michelle","United States"
"Sauvignon Blanc","","","1093514",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/241859/920767c8f2b152e7e67d9.png?1528471372","","","","","","1749 Wines","Wine","","johnsonbrothers","Bronco Wine Company","France"
"Añejo Tequila 100% de Agave","","","1734981",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Añejo Tequila 100% de Agave","","","1455876",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Añejo Tequila 100% de Agave","","","1497778",24,200,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Blanco Tequila 100% de Agave","","","1525066",6,1.75,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Blanco Tequila 100% de Agave","","","1525623",6,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
