"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Blanco Tequila 100% de Agave Azul Orgánico","","","1344206",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253212/1b3178a52e75fa07f3c1d.png?1650367617","","","","","","4 Copas Tequila","Spirit","","johnsonbrothers","Preiss Imports","Mexico"
"Reposado Tequila 100% de Agave Azul Orgánico","","","1611271",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253217/d748d783bb818a6acafe2.png?1650367621","","","","","","4 Copas Tequila","Spirit","","johnsonbrothers","Preiss Imports","Mexico"
"6 Years Old High Rye Indiana Rye Whiskey","","","1803416",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2905385/693efa0086528e9d449fc.png?1703751599","","","","","","450 North Spirts","Spirit","","johnsonbrothers","450 North Spirts","United States"
"6 Years Old Indiana Straight Bourbon Whiskey","","","1827861",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2905382/8932500c4a25636a4e2bb.png?1703751593","","","","","","450 North Spirts","Spirit","","johnsonbrothers","450 North Spirts","United States"
"6 Years Old Wheat Whiskey","","","1547421",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2905384/15bdafd009b10744a9fab.png?1703751597","","","","","","450 North Spirts","Spirit","","johnsonbrothers","450 North Spirts","United States"
"Gin","","","1825526",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2905383/700697ae3f8c5059b60cf.png?1703751595","","","","","","450 North Spirts","Spirit","","johnsonbrothers","450 North Spirts","United States"
"Small Batch Original Vodka","","","1837114",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2906625/7386fc9874d0179d3d614.png?1703827412","","","","","","450 North Spirts","Spirit","","johnsonbrothers","450 North Spirts","United States"
"Ribeiro Godello","","","1084313",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2419779/6b71cd35788cf462bae28.png?1660738288","","","","","","A Telleira","Wine","","johnsonbrothers","The Sorting Table","Spain"
"Ribeiro Mencía","","","1960588",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2583472/881f2906d6519fdbb1705.png?1680184824","","","","","","A Telleira","Wine","","johnsonbrothers","The Sorting Table","Spain"
"Taffel Akvavit","","","1724351",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/183512/253381cdc97701db065c3.png?1524057157","","","","","","Aalborg","Spirit","","johnsonbrothers","375 Park Avenue","Denmark"
