"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Drama Amethystos Rosé","","","1904363",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2263231/76c974a70251eacc868c5.png?1650906006","","","","","","Domaine Costa Lazaridi","Wine","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Drama Amethystos Rouge","","","1395521",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367623/40b231b716dc2b47682cb.png?1656596615","","","","","","Domaine Costa Lazaridi","Wine","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Drama Assyrtiko Château Julia","","","1821087",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2343011/7ac4ac2f3b9ac15f9cff6.png?1655369486","","","","","","Domaine Costa Lazaridi","Wine","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Drama Brut Blanc de Blancs","","","1006121",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2909476/9fed99b8df2c3abff647a.png?1704174699","","","","","","Domaine Costa Lazaridi","Wine","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Drama Chardonnay Château Julia","","","1379714",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3209241/efaee5c3eed53206214de.png?1720538025","","","","","","Domaine Costa Lazaridi","Wine","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Drama Malagousia","","","1804474",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367672/4ee832090febff85ad5a7.png?1656596680","","","","","","Domaine Costa Lazaridi","Wine","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Idoniko Tsipouro Anise","","","1638670",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367666/a00e9f05a37f094fb2c86.png?1656596673","","","","","","Domaine Costa Lazaridi","Spirit","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Idoniko Tsipouro Anise","","","1925622",24,200,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367666/a00e9f05a37f094fb2c86.png?1656596673","","","","","","Domaine Costa Lazaridi","Spirit","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Idoniko Tsipouro Grape Brandy","","","1421988",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367659/2d3157a3b2cc6bd2962e7.png?1656596666","","","","","","Domaine Costa Lazaridi","Spirit","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Idoniko Tsipouro Grape Brandy","","","1756580",24,200,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367659/2d3157a3b2cc6bd2962e7.png?1656596666","","","","","","Domaine Costa Lazaridi","Spirit","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Methexis Muscat","","","1599504",6,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/260457/55c8b6604e88db4813a60.png?1530043108","","","","","","Domaine Costa Lazaridi","Spirit","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
"Gold Tequila","","","1826189",6,1.75,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2279531/c0719da72dfd61f404919.png?1651535387","","","","","","Durango Spirits","Spirit","","johnsonbrothers","Prestige Beverage Group","Mexico"
"White Tequila","","","1279266",6,1.75,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2234807/89c306740a36f7c801821.png?1648205257","","","","","","Durango Spirits","Spirit","","johnsonbrothers","Prestige Beverage Group","Mexico"
"Imathia Petritis","","","1317319",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/32477/6b84dac5d219307c559c4.png?1508993997","","","","","","Estate Chrisohoou","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Naoussa Xinomavro","","","1316247",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1616991/fdc9c1a05505b6565f3d9.png?1593169322","","","","","","Estate Chrisohoou","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Premium Lager Beer","","","1015424",24,330,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1617617/7f1d5cd2a6e4c4129fb6d.png?1593174855","","","","","","Fix Hellas","Beer","","johnsonbrothers","Prestige Beverage Group","Greece"
"Venezia Pinot Grigio","","","1148836",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2927142/50cc81c1b28e6d1d5cf58.png?1705378341","","","","","","Fossetta","Wine","","johnsonbrothers","Prestige Beverage Group","Italy"
"Delle Venezie Pinot Grigio","","","1013365",6,1.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253767/8c98b31b2a219d3ebcdc3.png?1650400894","","","","","","Gionelli","Wine","","johnsonbrothers","Prestige Beverage Group","Italy"
"Delle Venezie Pinot Grigio","","","1487390",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253767/8c98b31b2a219d3ebcdc3.png?1650400894","","","","","","Gionelli","Wine","","johnsonbrothers","Prestige Beverage Group","Italy"
"Montepulciano d'Abruzzo","","","1551760",6,1.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/418065/9d0de81999889c90c5ac5.png?1538431831","","","","","","Gionelli","Wine","","johnsonbrothers","Prestige Beverage Group","Italy"
"Montepulciano d'Abruzzo","","","1591327",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/418065/9d0de81999889c90c5ac5.png?1538431831","","","","","","Gionelli","Wine","","johnsonbrothers","Prestige Beverage Group","Italy"
"Agiorgitiko Nemea","","","1588986",6,1.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/156472/da0e40e45b5c475cdc2ca.png?1521663772","","","","","","Greek Wine Cellars","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Agiorgitiko Nemea","","","1233373",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/156472/da0e40e45b5c475cdc2ca.png?1521663772","","","","","","Greek Wine Cellars","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Flowers Moschofilero Mantinia","","","1800987",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/130419/d2e49ec201ba82fe30409.png?1519305014","","","","","","Greek Wine Cellars","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Flowers Santorini Assyrtiko","","","1771307",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/130427/7c36332a73a6b4b0a55e3.png?1519305495","","","","","","Greek Wine Cellars","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Kourtaki Vin de Crete Red","","","1036529",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1267615/868a6d9bc970b44a213a7.png?1569502362","","","","","","Greek Wine Cellars","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Kourtaki Vin de Crete White","","","1842543",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3009619/fd99305f01a3c27ba2328.png?1709363077","","","","","","Greek Wine Cellars","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Mantinia Moscofilero","","","1998797",6,1.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/369188/6b33faa295ecc413dae8b.png?1536240682","","","","","","Greek Wine Cellars","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
