"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Snoop Dogg Cali Rosé California","","","1195719",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248393/64707c2a56889ed83ddd4.png?1649666979","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Snoop Dogg Sauvignon Blanc Cali Blanc California","","","1720904",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2455961/c2e759687c791da0adfa1.png?1664521801","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"The Banished Dark Red South Eastern Australia","","","1305439",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2552216/e1e84a3cbbd835d4dff6c.png?1676636476","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"The Uprising Aged 30 Days In Rum Barrels South Eastern Australia","","","1365918",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2552132/271ba4432526f65299b44.png?1676632644","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"The Warden Reserve South Eastern Australia","","","1966916",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2552114/9e5511389e07671afb300.png?1676632615","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"Cabernet Sauvignon Double Black Bourbon Barrel Aged Lodi Limited Edition","","","1689159",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3251705/acccddaf6217e29ccc7b5.png?1723150710","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Cabernet Sauvignon Double Black Lodi Limited Edition","","","1829968",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3006594/bc1448456e561d074b366.png?1709239186","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Chardonnay Buttery 1924 Double Gold Limited Edition","","","1079298",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2389734/9c87ccda4ba4a60bac6fe.png?1658144877","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Double Black Red Wine Blend Lodi Limited Edition","","","1233445",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252851/ce92764f1dc43bce755ac.png?1650349818","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Limited Edition 1924 Whiskey Barrel Aged Red Blend","","","1537177",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3153725/c522826f491c0ba77b2e8.png?1717087279","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Pinot Noir Port Barrel Aged California Limited Edition","","","1850263",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3006597/647a561b1a08ae4c33e3f.png?1709239294","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Sauvignon Blanc Double Gold California","","","1479302",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252883/dd333b985f7299b846b92.png?1650349848","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Pinot Noir Carneros","","","1446107",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/342389/3ac387297fc5e2929b7b0.png?1616723632","","","","","","Acacia Vineyard","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Cabernet Franc Mendoza","","","1914147",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3205656/8181c9760a01f43ade047.png?1720186397","","","","","","Achaval Ferrer","Wine","","johnsonbrothers","Stoli Group USA Llc","Argentina"
"Malbec Mendoza","","","1464755",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3206167/3411472a1ea7e88777cf5.png?1720419246","","","","","","Achaval Ferrer","Wine","","johnsonbrothers","Stoli Group USA Llc","Argentina"
"Natural Spring Water","","","1814181",12,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412","","","","","","Acqua Panna","Non-alcoholic","","johnsonbrothers","Nestle Waters North America Inc","Italy"
"Natural Spring Water","","","1165200",24,500,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412","","","","","","Acqua Panna","Non-alcoholic","","johnsonbrothers","Nestle Waters North America Inc","Italy"
"Cabernet Sauvignon Mendoza","","","1994492",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259632/b682e0486f53cbdd520b6.png?1650628851","","","","","","Alamos","Wine","","johnsonbrothers","Gallo","Argentina"
"Malbec Mendoza","","","1152950",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259658/c02218aacd271297bbc56.png?1650628882","","","","","","Alamos","Wine","","johnsonbrothers","Gallo","Argentina"
"Malbec Selección Mendoza","","","1646166",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259686/024ef420b83aa44ced4ba.png?1650628909","","","","","","Alamos","Wine","","johnsonbrothers","Gallo","Argentina"
"Red Blend Mendoza","","","1175098",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259727/8c806de9f8ccc4c31d7ea.png?1650628961","","","","","","Alamos","Wine","","johnsonbrothers","Gallo","Argentina"
"Sauvignon Blanc Marlborough","","","1711558",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1808535/ef4bcab53c87629024d90.png?1616721431","","","","","","Allan Scott","Wine","","johnsonbrothers","The Winebow Group","New Zealand"
"Amarone della Valpolicella Classico Dry Red Wine","","","1866021",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235661/c41f3b021aee946d52ddb.png?1722242766","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Valpolicella","","","1427672",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235073/2293699e5598fb52325c9.png?1722237328","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Veronese Palazzo Della Torre","","","1265097",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235100/d860395ed50bc572bcd5b.png?1722237387","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Chardonnay Willamette Valley","","","1274365",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2180767/61691f5d61624f8aa40dd.png?1643861343","","","","","","Alumni","Wine","","johnsonbrothers","Sm USA Inc","United States"
"Crémant de Bordeaux Brut Rosé","","","1296269",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2467340/a02a55a26b938dca9a946.png?1666075915","","","","","","Amelia (FR)","Wine","","johnsonbrothers","Gallo","France"
"Syrah Murmur Vineyard Santa Maria Valley","","","1152083",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3103899/ef0df7fd75b6a8d6ae93b.png?1714465838","","","","","","Amor Fati","Wine","","johnsonbrothers","Rabble Wine Company","United States"
"Cabernet Sauvignon Paso Robles","","","1943586",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2647335/4821a8715b089d51c90cf.png?1686167475","","","","","","Ancient Peaks Winery","Wine","","johnsonbrothers","Ancient Peaks Winery","United States"
"Chardonnay Paso Robles","","","1728786",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2647339/0996cfb033b616c74a7a1.png?1686168045","","","","","","Ancient Peaks Winery","Wine","","johnsonbrothers","Ancient Peaks Winery","United States"
"Merlot Santa Margarita Ranch","","","1889557",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2647345/7b7525abb1b78970d8a62.png?1686168253","","","","","","Ancient Peaks Winery","Wine","","johnsonbrothers","Ancient Peaks Winery","United States"
"Oyster Ridge Red Blend Paso Robles","","","1979883",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2750098/32d2611323674007ebaf8.png?1693608626","","","","","","Ancient Peaks Winery","Wine","","johnsonbrothers","Ancient Peaks Winery","United States"
"Renegade Red Blend Paso Robles","","","1823344",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/444473/06f7ea34a461bfd707d97.png?1539363320","","","","","","Ancient Peaks Winery","Wine","","johnsonbrothers","Ancient Peaks Winery","United States"
"Sauvignon Blanc Santa Margarita Ranch","","","1333081",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2750100/315f679c89fbfdecb44d6.png?1693610599","","","","","","Ancient Peaks Winery","Wine","","johnsonbrothers","Ancient Peaks Winery","United States"
"Zinfandel Santa Margarita Ranch","","","1924528",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2750101/e645ba68ceb269a2e1761.png?1693610846","","","","","","Ancient Peaks Winery","Wine","","johnsonbrothers","Ancient Peaks Winery","United States"
"Chardonnay Arroyo Seco","","","1901662",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1995577/4264adf7fb5dc22af6e4d.png?1626805741","","","","","","Andover Estate","Wine","","johnsonbrothers","Milton's Distributing Co Inc","United States"
"Pinot Noir Estate Grown Arroyo Seco","","","1085444",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261338/ece5035678f390d4aaa90.png?1650719655","","","","","","Andover Estate","Wine","","johnsonbrothers","Milton's Distributing Co Inc","United States"
"Blush Pink Champagne California","","","1034440",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261347/4089919cab196ddc04b83.png?1650719670","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Brut California","","","1667270",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261356/d8eab7f4465d8a1021391.png?1650719684","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Brut California","","","1200500",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261356/d8eab7f4465d8a1021391.png?1650719684","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Brut Rosé California","","","1878517",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2452916/a40462ef932f461dd9217.png?1664306614","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Brut Rosé California","","","1002411",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2452916/a40462ef932f461dd9217.png?1664306614","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Extra Dry California","","","1028551",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261455/df4658e5aaa0ee89590e9.png?1650719876","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
