"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
,"SYRUP CHOCOLATE 4/1 GAL","9408F","1 CASE","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-chocolate-4-1-gal/","BONNIE","","","","","","Badger Murphy","",""
,"SYRUP CHOCOLATE 4/1 GAL RED LABEL *","9451","1 CASE *","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-chocolate-4-1-gal-red-label/","BONNIE","","","","","","Badger Murphy","",""
,"SYRUP CHOCOLATE SQUEEZE 24/24 OZ BOTTLES +","9381","1 CASE +","24 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-chocolate-squeeze-24-24-oz-bottles/","HERSHEYS","","","","","","Badger Murphy","",""
,"SYRUP LEMON 5+1 4/1 GAL +","9408H","1 CASE +","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-lemon-51-4-1-gal/","RAINBORICH","","","","","","Badger Murphy","",""
,"SYRUP PANCAKE 80/2 OZ","9407F","1 CASE","2 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-pancake-80-2-oz/","KRAFT","","","","","","Badger Murphy","",""
,"SYRUP PANCAKE 100/1.4 OZ +","9082","1 CASE +","1.4 OZ","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-pancake-100-1-4-oz/","SMUCKERS","","","","","","Badger Murphy","",""
,"SYRUP PANCAKE 100/1.5 OZ CUPS","9407B","1 CASE","1.5 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-pancake-100-1-5-oz-cups/","N/A","","","","","","Badger Murphy","",""
,"SYRUP PANCAKE 4/1 GAL","9407A","1 CASE","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-pancake-4-1-gal/","VARIETY","","","","","","Badger Murphy","",""
,"SYRUP PANCAKE DIET 12/12 OZ +","9404","1 CASE +","12 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-pancake-diet-12-12-oz/","NORTHERN PINES","","","","","","Badger Murphy","",""
,"SYRUP PANCAKE PURE MAPLE 4/1 GAL *","9417","1 CASE *","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-pancake-pure-maple-4-1-gal/","MCLURES","","","","","","Badger Murphy","",""
,"SYRUP PANCAKE SUGAR FREE PC 100/1 OZ","9438","1 CASE","1 OZ POUCH","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-pancake-sugar-free-pc-100-1-oz/","DIAMOND CRYSTAL","","","","","","Badger Murphy","",""
,"SYRUP STRAWBERRY 4/1 GAL *","9408N","1 CASE *","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-strawberry-4-1-gal/","RAINBORICH","","","","","","Badger Murphy","",""
,"SYRUP VANILLA 4/1 GAL *","9408S","1 CASE *","1 GAL.","",,"","","","","CASE","","https://www.badgermurphy.com/product/syrup-vanilla-4-1-gal/","SNOW BALL","","","","","","Badger Murphy","",""
,"TACO PUFFS MICRO 24/6 OZ *","6631","1 CASE *","6 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/taco-puffs-micro-24-6-oz/","ILTACO","","","","","","Badger Murphy","",""
,"TACO SEASONING 6/9 OZ +","4340","1 CASE +","9 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/taco-seasoning-6-9-oz/","LAWRYS","","","","","","Badger Murphy","",""
,"TACO SHELLS 6 IN YELLOW 200 CT +","9409J","1 CASE +",".52 OUNCE","",,"","","","","CASE","","https://www.badgermurphy.com/product/taco-shells-6-in-yellow-200-ct/","MEXICAN ORIGINAL","","","","","","Badger Murphy","",""
,"TAMALES BEEF 72/3.5 OZ +","8437","1 CASE +","3.5 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/tamales-beef-72-3-5-oz/","TOM TOM","","","","","","Badger Murphy","",""
,"TAMARIND PUREE 30 OZ *","840429","1 TUB *","30 OZ","",,"","","","","EACH","","https://www.badgermurphy.com/product/tamarind-puree-30-oz/","PERFECT PUREE","","","","","","Badger Murphy","",""
,"TAMARINDO FLAVOR *","0444","1 GAL *","1 GAL.","",,"","","","","GAL.","","https://www.badgermurphy.com/product/tamarindo-flavor/","MAR-VA-FLO","","","","","","Badger Murphy","",""
,"TARRAGON FRESH 1 LB","4577","1 BAG","CASE","",,"","","","","CASE","","https://www.badgermurphy.com/product/tarragon-fresh-1-lb/","N/A","","","","","","Badger Murphy","",""
,"TARRAGON LEAVES WHOLE 1 LB","4371","1 JAR","1 LB.","",,"","","","","JAR","","https://www.badgermurphy.com/product/tarragon-leaves-whole-1-lb/","N/A","","","","","","Badger Murphy","",""
,"TART APPLE 6 IN 24 CT","840840","1 CASE","6 IN","",,"","","","","CASE","","https://www.badgermurphy.com/product/tart-apple-6-in-24-ct/","SYMPHONY","","","","","","Badger Murphy","",""
,"TART BUTTER STRAIGHT EDGE 3/25 IN 144 CT *","837101","1 CASE *","3.25 OZ","",,"","","","","CASE","","https://www.badgermurphy.com/product/tart-butter-straight-edge-3-25-in-144-ct/","PRUVE","","","","","","Badger Murphy","",""
,"TATER KEG REUBEN 106/1.5 OZ *","8148","1 CASE *","1.5 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/tater-keg-reuben-106-1-5-oz/","STONE GATE FOODS","","","","","","Badger Murphy","",""
,"TATER TOTS 6/5 LB","8138","1 CASE","5 LB","",,"","","","","CASE","","https://www.badgermurphy.com/product/tater-tots-6-5-lb/","N/A","","","","","","Badger Murphy","",""
,"TEA BAGS DECAF INDIVIDUALLY WRAPPED 6/72 CT +","9383","1 CASE +","N/A","",,"","","","","CASE","","https://www.badgermurphy.com/product/tea-bags-decaf-individually-wrapped-6-72-ct/","LIPTON","","","","","","Badger Murphy","",""
,"TEA BAGS GREEN 6/28 CT *","9410B","1 CASE *","N/A","",,"","","","","CASE","","https://www.badgermurphy.com/product/tea-bags-green-6-28-ct/","LIPTON","","","","","","Badger Murphy","",""
,"TEA BAGS HOT 10/100 CT ENVELOPES +","9382","1 CASE +","100 CT.","",,"","","","","CASE","","https://www.badgermurphy.com/product/tea-bags-hot-10-100-ct-envelopes/","LIPTON","","","","","","Badger Murphy","",""
