"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
,"BACON 18/20 SUGAR LAYOUT 15 LB","6275","15 LB.","18/20 SL","",,"","","","","","","https://www.badgermurphy.com/product/bacon-18-20-sugar-layout-15-lb/","DAILYS","","","","","","Badger Murphy","",""
,"BACON 18/22 15 LB BRONZE LABEL +","6506","15 LB. +","18/22 SL.","",,"","","","","","","https://www.badgermurphy.com/product/bacon-18-22-15-lb-bronze-label/","HWW BRONZE","","","","","","Badger Murphy","",""
,"BACON 18/22 LAYOUT 15 LB *","6503","1 CASE *","18/22","",,"","","","","","","https://www.badgermurphy.com/product/bacon-18-22-layout-15-lb/","HORMEL","","","","","","Badger Murphy","",""
,"BACON 18/22 SHINGLE PACK 12 LB","6112","12 LB.","18/22 SL.","",,"","","","","","","https://www.badgermurphy.com/product/bacon-18-22-shingle-pack-12-lb/","PEER","","","","","","Badger Murphy","",""
,"BACON 18/22 SHINGLE PACK 15 LB","6101","15 LB.","18/22 SL.","",,"","","","","","","https://www.badgermurphy.com/product/bacon-18-22-shingle-pack-15-lb/","REST PRIDE","","","","","","Badger Murphy","",""
,"BACON 9/11 LAYOUT 15 LB *","794439","15 LB. *","15 LB","",,"","","","","","","https://www.badgermurphy.com/product/bacon-9-11-layout-15-lb-2/","PEER","","","","","","Badger Murphy","",""
,"BACON 9/11 LAYOUT 15 LB +","6273","15 LB. +","9/11 SLICE","",,"","","","","","","https://www.badgermurphy.com/product/bacon-9-11-layout-15-lb/","JONES","","","","","","Badger Murphy","",""
,"BACON BITS COOKED DICED 3/8 IN 10 LB","6274","10 LB.","3/8 IN.","",,"","","","","","","https://www.badgermurphy.com/product/bacon-bits-cooked-diced-3-8-in-10-lb/","DAILYS","","","","","","Badger Murphy","",""
,"BACON BITS IMITATION 20 LB *","6179","1 CASE *","20 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bacon-bits-imitation-20-lb/","REDI BITS","","","","","","Badger Murphy","",""
,"BACON BITS REGULAR COOKED 3/8 IN 2/5 LB *","6508","1 CASE *","3/8 INCH","",,"","","","","","","https://www.badgermurphy.com/product/bacon-bits-regular-cooked-3-8-in-2-5-lb/","HORMEL","","","","","","Badger Murphy","",""
,"BACON CANADIAN 4 LB AVG *","6501","4#/A *","4#/A","",,"","","","","","","https://www.badgermurphy.com/product/bacon-canadian-4-lb-avg/","FARMLAND","","","","","","Badger Murphy","",""
,"BACON CANADIAN 6 LB AVG","6504","6#/A *","6 LB AVG","",,"","","","","","","https://www.badgermurphy.com/product/bacon-canadian-6-lb-avg/","HORMEL","","","","","","Badger Murphy","",""
,"BACON CANADIAN HALVES 2/3.5 LB AVG","6143A","7#/A","3.5#/A","",,"","","","","","","https://www.badgermurphy.com/product/bacon-canadian-halves-2-3-5-lb-avg/","ROSE","","","","","","Badger Murphy","",""
,"BACON ENDS & PIECES 8/3 LB CRYOVAC +","6278","24 LB. +","3 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bacon-ends-pieces-8-3-lb-cryovac/","DAILYS","","","","","","Badger Murphy","",""
,"BACON ENDS & PIECES SUGAR BULK 15 LB *","6110A","15 LB. *","15 LB.","",,"","","","","","","https://www.badgermurphy.com/product/bacon-ends-pieces-sugar-bulk-15-lb/","DAILYS","","","","","","Badger Murphy","",""
,"BACON RETAIL VAC PACK 24/1 LB","6107E","24 LB.","16 OZ.","",,"","","","","","","https://www.badgermurphy.com/product/bacon-retail-vac-pack-24-1-lb/","BIG BUY","","","","","","Badger Murphy","",""
,"BACON TURKEY 16 SLICE BULK 2/5 LB +","6412","10 LB. +","16 SL/LB","",,"","","","","","","https://www.badgermurphy.com/product/bacon-turkey-16-slice-bulk-2-5-lb/","GODSHALLS","","","","","","Badger Murphy","",""
