"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Tortellini","tort-1",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/4/6486/thumb600x600/4008833375/tortellini.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/tortellini/","Classic Italian Tortellini made fresh. Customizable fillings.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Pastas""}"
"Short Pasta","Short Pastas",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/4/6494/thumb600x600/4236506032/short-pasta.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/short-pasta/","Classic Italian short pasta made fresh.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Pastas""}"
"Ravioli","rav",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5900/thumb600x600/1330909726/ravioli.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/bacon-wrapped-dates-2/","Classic Italian Ravioli made fresh. Customizable fillings.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Pastas""}"
"Pasta Sheets","Pasta Sheets",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/4/6487/thumb600x600/2977233033/pasta-sheets.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pasta-sheets/","Classic Italian pasta sheets made fresh.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Pastas""}"
"Long Pasta","Lasagna-1",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/4/6491/thumb600x600/3289046383/longpastas.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/long-pasta/","Classic Italian long pasta made fresh.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Pastas""}"
"Lasagna","Lasagna",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/4/6490/thumb600x600/1693517700/lasagna.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lasagna/","Classic Italian Lasagna made fresh. Customizable fillings.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Pastas""}"
"Gnocchi","gnochi",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/4/6488/thumb600x600/2892816794/gnocchi.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/gnocchi/","Classic Italian Gnocchi made fresh.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Pastas""}"
"Cannelloni","Cannelloni",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/4/6489/thumb600x600/838033995/cannelloni.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/cannelloni/","Classic Italian Cannelloni made fresh. Customizable fillings.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Pastas""}"
