"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"Shaker.","SHAKER STAR SPANGLED 18 OZ BUBBA","1227307","60/CS","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1227307.JPG","","CS","","www.don.com/product/1227307","Global Promo","","","","","Edward don","","{""productData"":{""productId"":""273b46e0-29a7-466f-adb1-b1d66c508e07"",""id"":""1227307"",""name"":""SHAKER STAR SPANGLED 18 OZ BUBBA"",""list"":null,""brand"":""Global Promo"",""category"":null,""position"":null,""price"":null,""quantity"":null,""variant"":null,""coupon"":null,""uri"":null,""json"":""{\""brand\"":{\""@context\"":\""http://schema.org\"",\""@type\"":\""Brand\"",\""name\"":\""Global Promo\""},\""category\"":\""Glassware - Retail - Landry's\"",\""material\"":\""Plastic\"",\""mpn\"":\""2857\"",\""sku\"":\""1227307\"",\""@context\"":\""http://schema.org\"",\""@type\"":\""Product\"",\""name\"":\""SHAKER STAR SPANGLED 18 OZ BUBBA\"",\""description\"":\""Shaker.\"",\""image\"":\""www.don.com/UserFiles/Images/Products/Individuals/1227307.JPG\"",\""url\"":\""www.don.com/product/1227307\""}"",""success"":true,""message"":null,""properties"":{}},""matchingData"":{""uri"":null,""name"":""1227307"",""sortOrder"":2147483646,""attributeTypes"":null,""lastOrdered"":null,""lastTwelveMonths"":null,""lastQty"":null,""possibleCategories"":null,""assignedCategory"":null,""hiddenFromFavorites"":false,""categoryId"":""00000000-0000-0000-0000-000000000000"",""categoryName"":null,""unitPrice"":null,""replacesProductName"":null,""canCompare"":false,""isCompare"":false,""isOrderHistory"":false,""brandSort"":1,""solrSortOrder"":0,""vendorSort"":2147483646,""specifications"":null,""hideCasePack"":false,""id"":""273b46e0-29a7-466f-adb1-b1d66c508e07"",""smallImagePath"":""/userfiles/images/products/thumbnails/1227307t50.jpg"",""largeImagePath"":""/UserFiles/Images/Products/Individuals/1227307.jpg"",""productName"":""1227307"",""customerName"":null,""productDetailUrl"":""/product/1227307"",""modifiedOn"":""2024-08-28T20:11:17"",""shortDescription"":""SHAKER STAR SPANGLED 18 OZ BUBBA"",""packDescription"":""60/CS"",""shippedCount"":0,""qtyOrdered"":0,""price"":0,""priceDisplay"":null,""extendedPrice"":0,""unitOfMeasure"":""CS"",""unitOfMeasureDisplay"":""case"",""altText"":null,""showQuantityError"":false,""isFavorite"":false,""isFavoriting"":false,""relatedProducts"":null,""complementsList"":null,""alternatesList"":null,""isOrderGuide"":false,""isPreferredVendor"":false,""isPreferredItem"":false,""isMwbeItem"":false,""isContractPricing"":false,""isCorporateAddOn"":false,""isCritical"":false,""isfd"":false,""isExcluded"":false,""islid"":false,""properties"":{}}}"
"Shaker.","SHAKER 20 OZ T-REX 2024 LANDRY'S","1243630","60/CS","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1243630.JPG","","CS","","www.don.com/product/1243630","Global Promo","","","","","Edward don","","{""productData"":{""productId"":""51c9e647-459e-4dcd-9b34-97ba7565bc45"",""id"":""1243630"",""name"":""SHAKER 20 OZ T-REX 2024 LANDRY'S"",""list"":null,""brand"":""Global Promo"",""category"":null,""position"":null,""price"":null,""quantity"":null,""variant"":null,""coupon"":null,""uri"":null,""json"":""{\""brand\"":{\""@context\"":\""http://schema.org\"",\""@type\"":\""Brand\"",\""name\"":\""Global Promo\""},\""category\"":\""Glassware - Retail - Landry's\"",\""material\"":\""Plastic\"",\""mpn\"":\""4087\"",\""sku\"":\""1243630\"",\""@context\"":\""http://schema.org\"",\""@type\"":\""Product\"",\""name\"":\""SHAKER 20 OZ T-REX 2024 LANDRY'S\"",\""description\"":\""Shaker.\"",\""image\"":\""www.don.com/UserFiles/Images/Products/Individuals/1243630.JPG\"",\""url\"":\""www.don.com/product/1243630\""}"",""success"":true,""message"":null,""properties"":{}},""matchingData"":{""uri"":null,""name"":""1243630"",""sortOrder"":2147483646,""attributeTypes"":null,""lastOrdered"":null,""lastTwelveMonths"":null,""lastQty"":null,""possibleCategories"":null,""assignedCategory"":null,""hiddenFromFavorites"":false,""categoryId"":""00000000-0000-0000-0000-000000000000"",""categoryName"":null,""unitPrice"":null,""replacesProductName"":null,""canCompare"":false,""isCompare"":false,""isOrderHistory"":false,""brandSort"":1,""solrSortOrder"":0,""vendorSort"":2147483646,""specifications"":null,""hideCasePack"":false,""id"":""51c9e647-459e-4dcd-9b34-97ba7565bc45"",""smallImagePath"":""/userfiles/images/products/thumbnails/1243630t50.jpg"",""largeImagePath"":""/UserFiles/Images/Products/Individuals/1243630.jpg"",""productName"":""1243630"",""customerName"":null,""productDetailUrl"":""/product/1243630"",""modifiedOn"":""2024-08-28T20:11:29"",""shortDescription"":""SHAKER 20 OZ T-REX 2024 LANDRY'S"",""packDescription"":""60/CS"",""shippedCount"":0,""qtyOrdered"":0,""price"":0,""priceDisplay"":null,""extendedPrice"":0,""unitOfMeasure"":""CS"",""unitOfMeasureDisplay"":""case"",""altText"":null,""showQuantityError"":false,""isFavorite"":false,""isFavoriting"":false,""relatedProducts"":null,""complementsList"":null,""alternatesList"":null,""isOrderGuide"":false,""isPreferredVendor"":false,""isPreferredItem"":false,""isMwbeItem"":false,""isContractPricing"":false,""isCorporateAddOn"":false,""isCritical"":false,""isfd"":false,""isExcluded"":false,""islid"":false,""properties"":{}}}"
"Pint Glass.","GLASS PINT 20 OZ TREX CAUTION DON'T FEED","1247261","24/CS","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1247261.JPG","","CS","","www.don.com/product/1247261","Global Promo","","","","","Edward don","","{""productData"":{""productId"":""1fb46c30-3f1f-40f8-857e-581abf27171c"",""id"":""1247261"",""name"":""GLASS PINT 20 OZ TREX CAUTION DON'T FEED"",""list"":null,""brand"":""Global Promo"",""category"":null,""position"":null,""price"":null,""quantity"":null,""variant"":null,""coupon"":null,""uri"":null,""json"":""{\""brand\"":{\""@context\"":\""http://schema.org\"",\""@type\"":\""Brand\"",\""name\"":\""Global Promo\""},\""category\"":\""Glassware - Retail - Landry's\"",\""material\"":\""Glass\"",\""mpn\"":\""3856\"",\""sku\"":\""1247261\"",\""@context\"":\""http://schema.org\"",\""@type\"":\""Product\"",\""name\"":\""GLASS PINT 20 OZ TREX CAUTION DON'T FEED\"",\""description\"":\""Pint Glass.\"",\""image\"":\""www.don.com/UserFiles/Images/Products/Individuals/1247261.JPG\"",\""url\"":\""www.don.com/product/1247261\""}"",""success"":true,""message"":null,""properties"":{}},""matchingData"":{""uri"":null,""name"":""1247261"",""sortOrder"":2147483646,""attributeTypes"":null,""lastOrdered"":null,""lastTwelveMonths"":null,""lastQty"":null,""possibleCategories"":null,""assignedCategory"":null,""hiddenFromFavorites"":false,""categoryId"":""00000000-0000-0000-0000-000000000000"",""categoryName"":null,""unitPrice"":null,""replacesProductName"":null,""canCompare"":false,""isCompare"":false,""isOrderHistory"":false,""brandSort"":1,""solrSortOrder"":0,""vendorSort"":2147483646,""specifications"":null,""hideCasePack"":false,""id"":""1fb46c30-3f1f-40f8-857e-581abf27171c"",""smallImagePath"":""/userfiles/images/products/thumbnails/1247261t50.jpg"",""largeImagePath"":""/UserFiles/Images/Products/Individuals/1247261.jpg"",""productName"":""1247261"",""customerName"":null,""productDetailUrl"":""/product/1247261"",""modifiedOn"":""2024-09-07T20:10:44"",""shortDescription"":""GLASS PINT 20 OZ TREX CAUTION DON'T FEED"",""packDescription"":""24/CS"",""shippedCount"":0,""qtyOrdered"":0,""price"":0,""priceDisplay"":null,""extendedPrice"":0,""unitOfMeasure"":""CS"",""unitOfMeasureDisplay"":""case"",""altText"":null,""showQuantityError"":false,""isFavorite"":false,""isFavoriting"":false,""relatedProducts"":null,""complementsList"":null,""alternatesList"":null,""isOrderGuide"":false,""isPreferredVendor"":false,""isPreferredItem"":false,""isMwbeItem"":false,""isContractPricing"":false,""isCorporateAddOn"":false,""isCritical"":false,""isfd"":false,""isExcluded"":false,""islid"":false,""properties"":{}}}"
