name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
CLEANER FLOOR 1 GAL,Floor Cleaner.,,,1241294,e938585a-720e-43fd-90c5-2c3a193d7f00,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1241294.JPG,,www.don.com/product/1241294,,,,Nyco Products,Cleaning Products,Floor_Carpet,Miscellaneous,Floor_Carpet Care,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
CLEANER FLOOR TWIST N FILL,Cleaner. Neutral pH formula for washable hard floors or other surfaces. Each bottle makes 207 gallons of cleaner\r\n.,,,1J1616,75e440ea-cb7b-4560-97bc-0fcad5c4b879,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J1616.JPG,,www.don.com/product/1J1616,,,,3M,Cleaning Products,Floor_Carpet,Hard Floor Care,Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
CLEANER FLOOR SAFETY SCRUB POWDER 50 LB,Floor Cleaner. Slip-fall rated by UL: proven to provide greater traction on wet floors than standard detergents. Amber color with a floral scent. Non-acid white beaded detergent. Dilution ratio: 1 oz per gallon of water. USDA approved.,,,1J234,cda145d3-cc3f-4e55-b584-3742174552bd,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J234.JPG,,www.don.com/product/1J234,,,,Nyco Products,Cleaning Products,Floor_Carpet,Hard Floor Care,Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
FINISH FLOOR DURA BRITE 18% 5 GAL,18% Durable Floor Finish.,,,1J557,031b0f4a-1e49-4728-98e3-a7e9cbf8f2f3,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J557.JPG,,www.don.com/product/1J557,,,,Nyco Products,Cleaning Products,Floor_Carpet,Hard Floor Care,Finishes,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
CLEANER NEUTRA-CLEAN 1 GAL,"Neutra-Clean No Rinse Neut Cln. Highly concentrated, designed for daily use on high gloss floor finishes. Recommended for damp mopping. When used as directed, rinsing is not necessary. Great for heavy traffic areas. USDA authorized.",,,1J562,f0df36f7-5cce-4cbb-a5a5-a78778319fc0,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J562.JPG,,www.don.com/product/1J562,,,,Nyco Products,Cleaning Products,Floor_Carpet,Hard Floor Care,Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
SAFETY SCRUB FLOOR PACKETS 1-1/2 OZ,Safety Scrub. Cleans dirt and oil from tile and concrete while reducing the potential for slip and fall accidents—UL Classified. Non-acid white beaded detergent releases a slip reducing agent to restore the original quality of the surface. Use for daily maintenance of entranceways and heavy traffic areas or for heavy-duty grease build up in kitchens and concrete walkways. Dilution: one portion pack per every four gallons of water.,,,1J652,73e5f17a-8e12-47d1-81c3-48f196135913,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J652.JPG,,www.don.com/product/1J652,,,,Nyco Products,Cleaning Products,Floor_Carpet,Hard Floor Care,Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
DEODORANT CARPET FRESHENER 16OZ,"Deodorizer. Provides immediate and long-lasting odor control. Absorbs mildew, pet stool and vomit odors. Helps control static. Shaker canister for easy application.",,,1J917,44a82518-0f4b-4e9c-8adb-207ca1613e01,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J917.JPG,,www.don.com/product/1J917,,,,Pn & Pm Companies,Cleaning Products,Floor_Carpet,Carpet Care,Cleaners_Deodorizers,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
"PAD DUST 18"" W/FRINGE MICROFIBR","Floor Dust Pad w/ Fringe. Choose from a selection of innovative Microfiber floor pads and handles. High performance wet and dry pads have extended absorption capacity and double-bound edges. Ergonomic lightweight handles and frames feature a quick-connect mechanism for attaching pad to handle quickly and easily. Mop bucket (J202) features no-touch, foot-activated wringing.",,,4J401,1e0fb0bf-1a53-4b94-b942-33095dcbbd78,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/4J401.JPG,,www.don.com/product/4J401,,,,Newell Brands,Cleaning Products,Floor_Carpet,Floor Pads,Microfiber,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
"PAD WET 24"" W/SCRBR MICROFIBER","Wet Floor Pad w/ Scrubber. Choose from a selection of innovative Microfiber floor pads and handles. High performance wet and dry pads have extended absorption capacity and double-bound edges. Ergonomic lightweight handles and frames feature a quick-connect mechanism for attaching pad to handle quickly and easily. Mop bucket (J202) features no-touch, foot-activated wringing.",,,4J402,6a0c91fa-2b16-4047-afda-1fcb24482d2e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/4J402.JPG,,www.don.com/product/4J402,,,,Newell Brands,Cleaning Products,Floor_Carpet,Floor Pads,Microfiber,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
"FRAME 18"" QUICK CONNECT MICROFIBER","18"" Floor Pad Frame. Choose from a selection of innovative Microfiber floor pads and handles. High performance wet and dry pads have extended absorption capacity and double-bound edges. Ergonomic lightweight handles and frames feature a quick-connect mechanism for attaching pad to handle quickly and easily. Mop bucket (J202) features no-touch, foot-activated wringing.",,,4J403,7c46b98a-6da1-443f-a133-76b57d210aee,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/4J403.JPG,,www.don.com/product/4J403,,,,Newell Brands,Cleaning Products,Floor_Carpet,Floor Pads,Microfiber,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
CADDY PULSE FOR J1307,"Caddy. Clean more square feet of floors in faster, easier, more effective fashion. Features lightweight construction, industry-best microfiber, and user-controlled dispensing. On-board reservoir holds 21 oz of solution; caddy (sold separately) holds additional two gallons to clean up to 10,000 sq ft.",Plastic,,J1306,a2747f39-9519-45e9-a023-b4deee4bf1cb,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/J1306.JPG,,www.don.com/product/J1306,,,,Newell Brands,Cleaning Products,Floor_Carpet,Hard Floor Care,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial& Cleaning,Cleaning & Chemicals
