name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,,group,Level 1 Category,Level 2 Category,Level 3 Category
CLEANER DISINFECTANT FOAMING AERO 17 OZ,Foaming Disinfectant.,,,1246569,035156b7-6fcb-46b5-a22c-19fd82263831,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1246569.JPG,,www.don.com/product/1246569,,,,Chase Products Co - Np & Pc,Cleaning Products,Disinfecting,Miscellaneous,Disinfecting Cleaners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
WIPES CARE FOODSERVICE REFILL 500 CT,"Foodservice Sanitizing Wipes. No Rinse Food Service Sanitizing Wipes are effective against Staphylococcus aureus, E.coli, and more, and kills 99.9% of common of bacteria in 30 seconds; use on hard, non-porous surfaces such as stainless steel, plastic, porcelain and glass. Advantage Hand Sanitizing Wipes are FDA approved to remove 99.9% of common germs on hands and skin; can be used in any facility to protect people from spreading germs that may cause illness. GymWipes clean, disinfect and protect your expensive fitness equipment, as well as most surfaces in your facility. Stainless Stand with Door incorporates a front-opening door to easily empty the included trash container; the clean design keeps trash hidden, but wipes are conveniently accessible at the top of the stand for users to grab and go.",,,1049141,a49e492e-647f-42e1-9267-3b2fb2033a00,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1049141.JPG,,www.don.com/product/1049141,,,,2Xl Corporation,Cleaning Products,Disinfecting,Miscellaneous,Disinfecting Cleaners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
WIPES CARE FOODSERVICE BUCKET 500 CT,"Bucket w/Disinfecting Wipes. Large 6"" x 8"" degradable towelettes formulated to sanitize hard, non-porous food contact surfaces. Phenol-free, alcohol free and bleach free; no-rinse formula, does not require a water rinse after using. Kills 99.999% of bacteria that can cause food borne illness on hard non-porous surfaces in just 1 minute.",,,1049140,ea9a4435-a355-483c-9bc6-6614cbcbac0c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1049140.JPG,,www.don.com/product/1049140,,,,2Xl Corporation,Cleaning Products,Disinfecting,Miscellaneous,Disinfecting Cleaners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
WIPES GYM BIODEGRAD MEGA ROLL 1.2M CT,wipes.,,,1049111,dde2512d-ab2b-49ac-82de-79d8036b43eb,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1049111.JPG,,www.don.com/product/1049111,,,,2Xl Corporation,Cleaning Products,Disinfecting,Miscellaneous,Disinfecting Cleaners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT SPRAY ORIGINAL 16 OZ,Spray Disinfectant.,,,1246565,6e17b14d-5c74-429d-a5aa-e705e4b767f3,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1246565.JPG,,www.don.com/product/1246565,,,,Chase Products Co - Np & Pc,Cleaning Products,Disinfecting,Aerosol Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT W/ BLEACH 32 OZ SPRAY BTL,Hospital Cleaner/ Disenfectant.,,,1042714,80774afd-3b18-44d6-9177-d0864e0151da,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1042714.JPG,,www.don.com/product/1042714,,,,Rj Schinner - Np & Pc,Cleaning Products,Disinfecting,Aerosol Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT SPRAY CITRUS 16 OZ,Spray Disinfectant.,,,1246567,2d77af90-6ec5-4c8e-a30d-fb269689dd38,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1246567.JPG,,www.don.com/product/1246567,,,,Chase Products Co - Np & Pc,Cleaning Products,Disinfecting,Aerosol Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER DISINFECTANT SUPERCIDE ARROW,Disinfectant.,,,1198856,1e661bad-0d00-4746-8ee2-1726e932256f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1198856.JPG,,www.don.com/product/1198856,,,,Arrow Chemical Products,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT CLEANER ARROW 32 OZ,Disinfectant Cleaner.,,,1198191,12917716-7a92-41ae-b47b-01027001a374,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1198191.JPG,,www.don.com/product/1198191,,,,Arrow Chemical Products,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT CLEANER FIGHT-BAC RTU,"Disinfectant Cleaner. Broad spectrum disinfectant - kills Human Coronavirus, TB, HBV, HAV, HCV, staph, salmonella, and pseudomonas. Meets requirements of OSHA Bloodborne Pathogen Standard. Quat-based formula for use on a variety of hard, nonporous environmental surfaces. Quickly cuts grease, cleans, disinfects and deodorizes hard surfaces.",,,1198919,88807163-ea5d-45ba-aebe-6f0208dd641a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1198919.JPG,,www.don.com/product/1198919,,,,Betco,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER DISINFECT W/BLEACH COMET REFILL,Disinfecting Cleaner.,,,1233801,249970dc-8fd5-4861-94d9-5cf49a39f18a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1233801.JPG,,www.don.com/product/1233801,,,,Rj Schinner - Np & Pc,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
