"description","sku","pack","size","gtin","name","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level_1","level_2","level_3","manufacturer_name","distributor_name","unit_price","extra_data"
""," 78958","","12/ 6.76 FZ","","RAMUNE DRINK COLOR MELON 12 SK","","","","https://ecatalog.wismettacusa.com/upload/img/m/365674578669ee4e61c5387.18157079.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=121620&branch=LOS","SK","","","","","","","{""category"":""RAMUNE"",""itemNumber"":"" 78958"",""packSize"":""12/ 6.76 FZ"",""minOrderQty"":""1"",""barcode"":""074410741846"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/365674578669ee4e61c5387.18157079.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=121620&branch=LOS""}"
""," 82095","","20/ 17.6 OZ","","GYOZA SHRIMP GLUTEN FREE 20PC SK F","","","","https://ecatalog.wismettacusa.com/upload/img/m/158948481265d669c4129473.39026776.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=116191&branch=LOS","SK","","","","","","","{""category"":""GYOZA"",""itemNumber"":"" 82095"",""packSize"":""20/ 17.6 OZ"",""minOrderQty"":""1"",""barcode"":""074410820954"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/158948481265d669c4129473.39026776.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=116191&branch=LOS""}"
""," 82164","","LB","","SMOKED SALMON ATLN SK CHL F","","","","https://ecatalog.wismettacusa.com/upload/img/m/15765026265d53ed110c4c4.32653126.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=117471&branch=LOS","SK","","","","","","","{""category"":""SMOKE SALMON"",""itemNumber"":"" 82164"",""packSize"":""LB"",""minOrderQty"":"""",""barcode"":"""",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/15765026265d53ed110c4c4.32653126.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=117471&branch=LOS""}"
""," 82251","","12/ 2.6 LB","","BLACK COD MARINATED SAIKYO MISO JPN F","","","","https://ecatalog.wismettacusa.com/upload/img/m/1864751073668480df7dd2a4.24319655.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=120271&branch=LOS","","","","","","","","{""category"":""BLACK COD"",""itemNumber"":"" 82251"",""packSize"":""12/ 2.6 LB"",""minOrderQty"":""1"",""barcode"":"""",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/1864751073668480df7dd2a4.24319655.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=120271&branch=LOS""}"
""," 82340","","22/ 1 LB","","FRIED TUNA&ONIONS W/SWT&SOUR SAUCE JPN F","","","","https://ecatalog.wismettacusa.com/upload/img/m/2407928216684811971d1c9.53266677.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=122395&branch=LOS","","","","","","","","{""category"":""TUNA OTHER ( SLICE, CUBE )"",""itemNumber"":"" 82340"",""packSize"":""22/ 1 LB"",""minOrderQty"":""1"",""barcode"":"""",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/2407928216684811971d1c9.53266677.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=122395&branch=LOS""}"
""," 84904","","100/ 4.58 OZ","","MACKEREL KABAYAKI JUST CHAMPION TWN F","","","","https://ecatalog.wismettacusa.com/upload/img/m/6065519665739c52bc0613.54794868.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=117049&branch=LOS","","","","","","","","{""category"":""MACKEREL"",""itemNumber"":"" 84904"",""packSize"":""100/ 4.58 OZ"",""minOrderQty"":""1"",""barcode"":""074410849047"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/6065519665739c52bc0613.54794868.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=117049&branch=LOS""}"
""," 84905","","100/ 3.17 OZ","","TILAPIA KABAYAKI JUST CHAMPION TWN F","","","","https://ecatalog.wismettacusa.com/upload/img/m/134356515365739c72243235.66547864.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=117050&branch=LOS","","","","","","","","{""category"":""TILAPIA"",""itemNumber"":"" 84905"",""packSize"":""100/ 3.17 OZ"",""minOrderQty"":""1"",""barcode"":""074410849054"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/134356515365739c72243235.66547864.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=117050&branch=LOS""}"
""," 84906","","100/ 2.46 OZ","","SAURY KABAYAKI JUST CHAMPION TWN F","","","","https://ecatalog.wismettacusa.com/upload/img/m/1623870796658cc3ef526f37.27566079.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=117051&branch=LOS","","","","","","","","{""category"":""FISH OTHER ( LOBSTER, ANAGO )"",""itemNumber"":"" 84906"",""packSize"":""100/ 2.46 OZ"",""minOrderQty"":""1"",""barcode"":""074410849061"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/1623870796658cc3ef526f37.27566079.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=117051&branch=LOS""}"
""," 84941","","20/ 1.1 LB","","IMITATION CRAB KANI KAMA KANI-TARO SK F","","","","https://ecatalog.wismettacusa.com/upload/img/m/1026068520663bbc15ed3e76.21659611.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=117828&branch=LOS","SK","","","","","","","{""category"":""IMITATION CRAB"",""itemNumber"":"" 84941"",""packSize"":""20/ 1.1 LB"",""minOrderQty"":""1"",""barcode"":""074410849412"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/1026068520663bbc15ed3e76.21659611.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=117828&branch=LOS""}"
""," 87003","","40/ 9.9 OZ","","VEGAN SALMON SAKU 9.9OZ F","","","","https://ecatalog.wismettacusa.com/upload/img/m/2014987817668d868cc16ce4.41989260.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=122762&branch=LOS","","","","","","","","{""category"":""SALMON, TROUT"",""itemNumber"":"" 87003"",""packSize"":""40/ 9.9 OZ"",""minOrderQty"":""1"",""barcode"":"""",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/2014987817668d868cc16ce4.41989260.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=122762&branch=LOS""}"
""," 87019","","40/ 9.9 OZ","","VEGAN TUNA SAKU 9.9OZ F","","","","https://ecatalog.wismettacusa.com/upload/img/m/2048235965668d86e36d9bf7.02303884.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=122758&branch=LOS","","","","","","","","{""category"":""TUNA SAKU, LOIN"",""itemNumber"":"" 87019"",""packSize"":""40/ 9.9 OZ"",""minOrderQty"":""1"",""barcode"":"""",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/2048235965668d86e36d9bf7.02303884.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=122758&branch=LOS""}"
